BLADE NO.,SIZE,TEETH,ARBOR,KERF,RPM,STOCK #
SB68001,"6-1/2\"",24""","5/8\"",.065""",9800.0,,,
SB68002,"7-1/4\"",24""","5/8\"",.065""",9400.0,,,
SB68003,"3-3/8\"",24""",15mm,0.065,12000.0,,
SB68004,"4-3/8\"",18""",20mm,0.065,12000.0,,
SB68005,"5-3/8\"",24""",10mm,0.065,10400.0,,
SB68006,"6-1/2\"",18""","5/8\ UNI""",0.065,9800.0,,
SB68007,"7-1/4\"",18""","5/8\ UNI""",0.065,9400.0,,
SB68008,"8-1/4\"",40""","5/8\"",.090""",8200.0,,,
SB68009,"10\"",24""","5/8\"",.090""",7000.0,,,
SB68010,"12\"",60""","1\"",.100""",6400.0,,,
SB67064,"7-1/4\"",24""","5/8\ UNI""",0.082,9000.0,,
SB67069,"8-1/4\"",24""","5/8\ UNI""",0.084,7900.0,,
SB67072,"7-1/4\"",40""","5/8\ UNI""",0.082,9000.0,,
SB67077,"10\"",40""","5/8\"",.094""",7000.0,,,
SB67066,"10\"",60""","5/8\"",.094""",7000.0,,,
