SIZE,DECIMAL EQUIV.,FLUTE LENGTH,OVERALL LENGTH,ALFA USA STOCK #
A,0.234,2-5/8,3-7/8,S160201TN
B,0.238,2-3/4,4,S160202TN
C,0.242,2-3/4,4,S160203TN
D,0.246,2-3/4,4,S160204TN
E,0.25,2-3/4,4,S160205TN
F,0.257,2-7/8,4-1/8,S160206TN
G,0.261,2-7/8,4-1/8,S160207TN
H,0.266,2-7/8,4-1/8,S160208TN
I,0.272,2-7/8,4-1/8,S160209TN
J,0.277,2-7/8,4-1/8,S160210TN
K,0.281,2-15/16,4-1/4,S160211TN
L,0.29,2-15/16,4-1/4,S160212TN
M,0.295,3-1/16,4-3/8,S160213TN
N,0.302,3-1/16,4-3/8,S160214TN
O,0.316,3-3/16,4-1/2,S160215TN
P,0.323,3-5/16,4-5/8,S160216TN
Q,0.332,3-7/16,4-3/4,S160217TN
R,0.339,3-7/16,4-3/4,S160218TN
S,0.348,3-1/2,4-7/8,S160219TN
T,0.358,3-1/2,4-7/8,S160220TN
U,0.368,3-5/8,5,S160221TN
V,0.377,3-5/8,5,S160222TN
W,0.386,3-3/4,5-1/8,S160223TN
X,0.397,3-3/4,5-1/8,S160224TN
Y,0.404,3-7/8,5-1/4,S160225TN
Z,0.413,3-7/8,5-1/4,S160226TN
