HOLE SHANK,SIZE DIA. (MM),LENGTH,STOCK #
5/8,8,3-1/2,FBM64002
11/16,8,3-1/2,FBM64003
3/4,8,3-1/2,FBM64004
13/16,8,3-1/2,FBM64006
7/8,10,3-1/2,FBM64008
15/16,10,3-1/2,FBM64009
1,10,3-1/2,FBM64010
1-1/16,10,3-1/2,FBM64012
1-1/8,10,3-1/2,FBM64013
1-3/16,10,3-1/2,FBM64015
1-1/4,10,3-1/2,FBM64016
1-5/16,10,3-1/2,FBM64017
1-3/8,10,3-1/2,FBM64018
35mm,10,3-1/2,FBM64019
1-1/2,10,3-1/2,FBM64020
40mm,10,3-1/2,FBM64021
1-5/8,10,3-1/2,FBM64022
1-3/4,10,3-1/2,FBM64023
1-7/8,10,3-1/2,FBM64024
2,10,3-1/2,FBM64026
2-1/8,10,3-1/2,FBM64027
2-1/4,10,3-1/2,FBM64028
