HOLE SIZE DIA. (MM),SHANK OVERALL LENGTH,STOCK #,FAMAG Features:
8,3-1/2,FB61450,Premium quality design. Wunderbar!
8,3-1/2,FB61451,Bores precision tear-free Made in Germany
8,3-1/2,FB61452,holes at any angle.
8,3-1/2,FB61453,);
8,3-1/2,FB61454,New chip groove geometry.
8,3-1/2,FB61455,);
8,3-1/2,FB61456,);
8,3-1/2,FB61457,);
8,3-1/2,FB61458,
8,3-1/2,FB61459,);
10,3-1/2,FB61460,Fine M W a o g o a d z w in o e rking
10,3-1/2,FB61461,);
10,3-1/2,FB61462,
10,3-1/2,FB61463,SETS
10,3-1/2,FB61464,in wooden box
10,3-1/2,FB61465,
10,3-1/2,FB61466,DESCR IPTION STOCK #
10,3-1/2,FB61467,FAMAG
10,3-1/2,FB61468,4 Pc. Set contains one each:
10,3-1/2,FB61469,"5/8“, 3/4“, 7/8“ & 1“"
10,3-1/2,FB61470,
10,3-1/2,FB61472,7 Pc. Set contains one each: FB61498
10,3-1/2,FB61474,"1/4“, 3/8“, 1/2“, 5/8“, 3/4“, 7/8“ & 1“"
10,3-1/2,FB61477,16 Pc. Set contains one each:
10,3-1/2,FB61478,"1/4“, 3/8“, 1/2“, 5/8“, 3/4“, 7/8“, 1“, 1-1/8“, 1-1/4“, 1-3/8“, 1-1/2“, 1-5/8“, 1-3/4“, 1-7/8“, 2“ & 2-1/8“"
10,3-1/2,FB61479,
10,3-1/2,FB61479A,
