SIZE,DECIMAL EQUIV.,FLUTE LENGTH,OVERALL LENGTH,ECO PRO STOCK #
*1/16,0.0625,7/8,1-7/8,S40101TT
*5/64,0.0781,1,2,S40102TT
*3/32,0.0938,1-1/4,2-1/4,S40103TT
*7/64,0.1094,1-1/2,2-5/8,S40104TT
1/8,0.125,1-5/8,2-3/4,S40105TT
9/64,0.1406,1-3/4,2-7/8,S40106TT
5/32,0.1563,2,3-1/8,S40107TT
11/64,0.1719,2-1/8,3-1/4,S40108TT
3/16,0.1875,2-5/16,3-1/2,S40109TT
13/64,0.2031,2-7/16,3-5/8,S40110TT
7/32,0.2188,2-1/2,3-3/4,S40111TT
15/64,0.2344,2-5/8,3-7/8,S40112TT
1/4,0.25,2-3/4,4,S40113TT
17/64,0.2656,2-7/8,4-1/8,S40114TT
9/32,0.2813,2-15/16,4-1/4,S40115TT
