HOLE SIZE,DIA.,LENGTH,ECO PRO,STOCK #
1/4,6,0.35,3-1/2,ML61550
5/16,7,0.94,3-1/2,ML61551
3/8,9,0.53,3-1/2,ML61552
7/16,11,0.11,3-1/2,ML61553
1/2,12,0.7,3-1/2,ML61554
9/16,14,0.29,3-1/2,ML61555
5/8,15,0.88,3-1/2,ML61556
11/16,17,0.46,3-1/2,ML61557
3/4,19,0.05,3-1/2,ML61558
13/16,20,0.64,3-1/2,ML61559
7/8,22,0.23,3-1/2,ML61560
15/16,23,0.81,3-1/2,ML61561
1,25,0.4,3-1/2,ML61562
1-1/16,26,0.99,3-1/2,ML61563
1-1/8,28,0.58,3-1/2,ML61564
1-3/16,30,0.16,3-1/2,ML61565
1-1/4,31,0.75,3-1/2,ML61566
1-5/16,33,0.34,3-1/2,ML61567
1-3/8,34,0.93,3-1/2,ML61568
1-7/16,36,0.51,3-1/2,ML61569
1-1/2,38,0.1,3-1/2,ML61570
1-5/8,41,0.28,3-1/2,ML61572
1-3/4,44,0.45,3-1/2,ML61574
1-7/8,47,0.63,3-1/2,ML61577
2,50,0.8,3-1/2,ML61578 D
2-1/8,53,0.98,3-1/2,ML61579
2-1/4,57,0.15,3-1/2,ML61579A
