HOLE SIZE,DIA.,LENGTH,ECO PRO,STOCK #
1/4,5/16,3-1/2,.,FB61550
5/16,5/16,3-1/2,.,FB61551
3/8,5/16,3-1/2,.,FB61552
7/16,5/16,3-1/2,.,FB61553
1/2,5/16,3-1/2,.,FB61554
9/16,5/16,3-1/2,.,FB61555
5/8,5/16,3-1/2,.,FB61556
11/16,5/16,3-1/2,.,FB61557
3/4,5/16,3-1/2,.,FB61558
13/16,5/16,3-1/2,.,FB61559
7/8,3/8,3-1/2,.,FB61560
15/16,3/8,3-1/2,.,FB61561
1,3/8,3-1/2,.,FB61562
1-1/16,3/8,3-1/2,.,FB61563
1-1/8,3/8,3-1/2,.,FB61564
1-3/16,3/8,3-1/2,.,FB61565
1-1/4,3/8,3-1/2,.,FB61566
1-5/16,3/8,3-1/2,.,FB61567
1-3/8,3/8,3-1/2,.,FB61568
1-7/16,3/8,3-1/2,.,FB61569
1-1/2,3/8,3-1/2,.,FB61570
1-5/8,3/8,3-1/2,.,FB61572
1-3/4,3/8,3-1/2,.,FB61574
1-7/8,3/8,3-1/2,.,FB61577
2,3/8,3-1/2,.,FB61578
2-1/8,3/8,3-1/2,.,FB61579
2-1/4,3/8,3-1/2,.,FB61579A
