STOCK #,SIZE,LENGTH,OAL
BPH62301,1/8,1-5/8,2-3/4
BPH62302,9/64,1-3/4,2-7/8
BPH62303,5/32,2,3-1/8
BPH62304,11/64,2-1/8,3-1/4
BPH62305,3/16,2-5/16,3-1/2
BPH62306,13/64,2-7/16,3-5/8
BPH62307,7/32,2-1/2,3-3/4
BPH62308,15/64,2-5/8,3-7/8
BPH62309,1/4,2-3/4,4
BPH62310,17/64,2-7/8,4-1/8
BPH62311,9/32,2-15/16,4-1/4
BPH62312,19/64,3-1/16,4-3/8
BPH62313,5/16,3-3/16,4-1/2
BPH62314,11/32,3-7/16,4-3/4
BPH62316,3/8,3-5/8,5
BPH62317,13/32,3-7/8,5-1/4
BPH62320,7/16,4-1/16,5-1/2
BPH62324,1/2,4-1/2,6
BPH623030,9/16,3-1/8,6
BPH623034,5/8,3-1/8,6
BPH623042,3/4,3-1/8,6
BPH623050,7/8,3-1/8,6
BPH623058,1,3-1/8,6
BPH623060,1-1/16,3-1/8,6
BPH623061,1-1/8,3-1/8,6
BPH623062,1-3/16,3-1/8,6
BPH623063,1-1/4,3-1/8,6
BPH623064,1-5/16,3-1/8,6
BPH623065,1-3/8,3-1/8,6
BPH623066,1-7/16,3-1/8,6
BPH623067,1-1/2,3-1/8,6
