DRILL SHANK,FLUTE,OAL,STOCK #,SIZE,DIA.,LENGTH,POUCHED
1/8*,1/8,1-5/16,2-3/8,DLB62201,METRIC D,,
5/32*,5/32,1-3/4,3,DLB62202,,,
3/16,3/16,2-1/16,3-3/8,DLB62203,D S R IZ IL E L SH D A IA N . K FL OAL,,
7/32,7/32,2-1/4,3-5/8,DLB62204,MM MM M M MM,,
1/4,1/4,2-1/4,3-11/16,DLB62205,,,
9/32,9/32,2-1/4,3-11/16,DLB62206,,,
5/16,5/16,2-11/16,4-5/8,DLB62207,,,
11/32,11/32,2-3/4,4-7/8,DLB62208,,,
3/8,3/8,3-7/16,5-1/4,DLB62209,,,
7/16,3/8,3-7/16,5-1/4,DLB62210,,,
1/2,3/8,4,5-3/4,DLB62211,,,
9/16,25/64,4-11/32,6-3/8,DLB62212,,,
5/8,25/64,4-23/32,7-5/64,DLB62213,,,
3/4,25/64,5-7/64,7-11/16,DLB62214,,,
7/8,1/2,5-1/2,8-1/4,DLB62215,,,
1,1/2,5-1/2,8-3/8,DLB62216,,,
