BORE,HEX,FLUTE,OA L,TUBED,STOCK #
3/4,7/16,4,6-1/2,AUG61280,
7/8,7/16,4,6-1/2,AUG61281,
1,7/16,4,6-1/2,AUG61282,
1-1/8,7/16,4,6-1/2,AUG61283,
1-1/4,7/16,4,6-1/2,AUG61284,
1-3/8,7/16,4,6-1/2,AUG61285,
1-1/2,7/16,4,6-1/2,AUG61286,
5/8,5/16,5-1/2,8-1/2,AUG61268,
11/16,5/16,5-1/2,8-1/2,AUG61269,
3/4,5/16,5-1/2,8-1/2,AUG61270,
13/16,5/16,5-1/2,8-1/2,AUG61271,
7/8,5/16,5-1/2,8-1/2,AUG61272,
1,5/16,5-1/2,8-1/2,AUG61273,
1-1/8,7/16,5-1/2,8-1/2,AUG61274,
1-1/4,7/16,5-1/2,8-1/2,AUG61275,
1-3/4,7/16,5-1/2,8-1/2,AUG61277,
