Fractional/Letter," ""Decimal"""," ""Flute Length"""," ""Overall Length"""," ""ALKFA USA Stock #"""
*1/64," "".0156"""," ""3/16"""," ""3/4"""," ""CO50097 A"""
*1/32," "".0312"""," ""1/2"""," ""1-3/8"""," ""CO50098 B"""
*3/64," "".0469"""," ""3/4"""," ""1-3/4"""," ""CO50099 C"""
1/16," "".0625"""," ""7/8"""," ""1-7/8"""," ""CO50101 D"""
5/64," "".0781"""," ""1"""," ""2"""," ""CO50102 E"""
3/32," "".0938"""," ""1-1/4"""," ""2-1/4"""," ""CO50103 F"""
7/64," "".1094"""," ""1-1/2"""," ""2-5/8"""," ""CO50104 G"""
1/8," "".1250"""," ""1-5/8"""," ""2-3/4"""," ""CO50105 H"""
9/64," "".1406"""," ""1-3/4"""," ""2-7/8"""," ""CO50106 I"""
5/32," "".1562"""," ""2"""," ""3-1/8"""," ""CO50107 J"""
11/64," "".1719"""," ""2-1/8"""," ""3-1/4"""," ""CO50108 K"""
3/16," "".1875"""," ""2-5/16"""," ""3-1/2"""," ""CO50109 L"""
13/64," "".2031"""," ""2-7/16"""," ""3-5/8"""," ""CO50110 M"""
7/32," "".2188"""," ""2-1/2"""," ""3-3/4"""," ""CO50111 N"""
15/64," "".2344"""," ""2-5/8"""," ""3-7/8"""," ""CO50112 O"""
1/4," "".2500"""," ""2-3/4"""," ""4"""," ""CO50113 P"""
17/64," "".2656"""," ""2-7/8"""," ""4-1/8"""," ""CO50114 Q"""
9/32," "".2812"""," ""2-15/16"""," ""4-1/4"""," ""CO50115 R"""
19/64," "".2969"""," ""3-1/16"""," ""4-3/8"""," ""CO50116 S"""
5/16," "".3125"""," ""3-3/16"""," ""4-1/2"""," ""CO50117 T"""
21/64," "".3281"""," ""3-5/16"""," ""4-5/8"""," ""CO50118 U"""
11/32," "".3438"""," ""3-7/16"""," ""4-3/4"""," ""CO50119 V"""
23/64," "".3594"""," ""3-1/2"""," ""4-7/8"""," ""CO50120 W"""
3/8," "".3750"""," ""3-5/8"""," ""5"""," ""CO50121 X"""
25/64," "".3906"""," ""3-3/4"""," ""5-1/8"""," ""CO50122 Y"""
13/32," "".4062"""," ""3-7/8"""," ""5-1/4"""," ""CO50123 Z"""
27/64," "".4219"""," ""3-15/16"""," ""5-3/8"""," ""CO50124"""
7/16," "".4375"""," ""4-1/16"""," ""5-1/2"""," ""CO50125"""
29/64," "".4531"""," ""4-3/16"""," ""5-5/8"""," ""CO50126"""
15/32," "".4688"""," ""4-5/16"""," ""5-3/4"""," ""CO50127"""
31/64," "".4844"""," ""4-3/8"""," ""5-7/8"""," ""CO50128"""
1/2," "".5000"""," ""4-1/2"""," ""6"""," ""CO50129"""
33/64," "".5156"""," ""4-13/16"""," ""6-5/8"""," ""CO50130"""
17/32," "".5312"""," ""4-13/16"""," ""6-5/8"""," ""CO50131"""
35/64," "".5469"""," ""4-13/16"""," ""6-5/8"""," ""CO50132"""
9/16," "".5625"""," ""4-13/16"""," ""6-5/8"""," ""CO50133"""
37/64," "".5781"""," ""4-13/16"""," ""6-5/8"""," ""CO50134"""
19/32," "".5938"""," ""5-3/16"""," ""7-1/8"""," ""CO50135"""
39/64," "".6094"""," ""5-3/16"""," ""7-1/8"""," ""CO50136"""
5/8," "".6250"""," ""5-3/16"""," ""7-1/8"""," ""CO50137"""
41/64," "".6406"""," ""5-3/16"""," ""7-1/8"""," ""CO50138"""
21/32," "".6562"""," ""5-3/16"""," ""7-1/8"""," ""CO50139"""
43/64," "".6719"""," ""5-5/8"""," ""7-5/8"""," ""CO50140"""
11/16," "".6875"""," ""5-5/8"""," ""7-5/8"""," ""CO50141"""
