Size x OAL,Apex®,Alfa Tools,Size x OAL.1,Apex®.1,Alfa Tools.1,Size x OAL.2,Apex®.2,Alfa Tools.2
"#1 x 1"",440-1X""",HSB15803,"T5 x 1"",440-TX-05X""",HSB16066,"5/64 x 1""""",185-0X,HSB15836,,
"#2 x 1"",440-2X""",HSB15803,"T6 x 1"",440-TX-06X""",HSB15820,"3/32 x 1""""",185-1X,HSB15837,,
"#3 x 1"",440-3X""",HSB15804,"T7 x 1"",440-TX-07X""",HSB15821,"7/64 x 1""""",185-9X,HSB15838,,
"T8 x 1"",440-TX-08X""",HSB15822,"1/8 x 1""""",185-2X,HSB15839,,,,
"T9 x 1"",440-TX-09X""",HSB15823,"5/32 x 1""""",185-3X,HSB15840,,,,
"#1 x 1"",446-1X""",HSB15806,"T10 x 1"",440-TX10X""",HSB15824,"3/16 x 1""""",185-4X,HSB15841,,
"#2 x 1"",446-2X""",HSB15805,"T15 x 1"",440-TX-15X""",HSB15825,,,,,
"T20 x 1"",440-TX-20X""",HSB15826,,,,,,,
"#1 x 1"",440-1-ACR1X""",HSB26110,"T25 x 1"",440-TX-25X""",HSB15827,"5/32 x 1-1/4""""",315-3X,HSB16045,,
"#2 x 1"",440-2-ACR2X""",HSB26111,"T27 x 1"",440-TX-27X""",HSB15828,"3/16 x 1-1/4""""",315-4X,HSB16046,,
"#3 x 1"",440-ACR3X""",HSB26112,"T30 x 1"",440-TX-30X""",HSB15829,"7/32 x 1-1/4""""",315-5X,HSB16047,,
"T40 x 1"",440-TX-40X""",HSB15830,"1/4 x 1-1/4""""",315-6X,HSB16048,,,,
"5/16 x 1-1/4"",315-7X""",HSB16049,,,,,,,
"#2 x 1"",440-2-ACR2DX""",HSB26113,"T30 x 1-1/4"",480-TX-30X""",HSB16030,,,,,
"5/16 x 1-1/4"",315-8X""",HSB16051,,,,,,,
"#1 x 1-1/4"",480-1X""",HSB16021,"T40 x 1-1/4"",480-TX-40X""",HSB16031,,,,,
"#2 x 1-1/4"",480-2X""",HSB16022,"T45 x 1-1/4"",480-TX-45X""",HSB16032,,,,,
"#3 x 1-1/4"",480-3X""",HSB16023,"T47 x 1-1/4"",480-TX-47X""",HSB16033,,,,,
"#1 x 1-15/16"",491X""",HSB15845,"T10 x 1-15/16"",49-TX-10""",HSB15888,"5/64 x 1-15/16""""",AM-02-A,HSB16201,,
"#2 x 1-15/16"",492X""",HSB15846,"T15 x 1-15/16"",49-TX-15""",HSB15889,"3/32 x 1-15/16""""",AM-03,HSB16202,,
"#3 x 1-15/16"",493X""",HSB15847,"T20 x 1-15/16"",49-TX-20""",HSB15890,"1/8 x 1-15/16""""",AM-04,HSB16203,,
"#1 x 2-3/4"",491-AX""",HSB15848,"T25 x 1-15/16"",49-TX-25""",HSB15891,"5/32 x 1-15/16""""",AM-05,HSB16204,,
"#2 x 2-3/4"",492-AX""",HSB15849,"T27 x 1-15/16"",49-TX-27""",HSB15892,"3/16 x 1-15/16""""",AM-06,HSB16205,,
"#3 x 2-3/4"",493-AX""",HSB15850,"T30 x 1-15/16"",49-TX-30""",HSB15893,"7/32 x 1-15/16""""",AM-07,HSB16206,,
"#1 x 6"",491CX""",HSB15860,"T10 x 6"",49-C-TX-10""",HSB16081,"1/4 x 1-15/16""""",AM-08,HSB15207,,
"#2 x 6"",492-CX""",HSB15861,"T15 x 6"",49-C-TX-15""",HSB16082,"5/16 x 1-15/16""""",AM-10,HSB15208,,
"#3 x 6"",493-CX""",HSB15862,"T20 x 6"",49-C-TX-20""",HSB16083,,,,,
