STOCK #,POINT,SIZE OAL P,Q,A,T,C,y,K,. IN HA,B,NG,U,-,L,U.1,K.1,P BOX 2 P,C.1,E,A.1,R,R D,C.2,E.1,A.2,D,RD
#0,"1""",25,HSB15801,HSB15801C,,,,,,,,,,,,,,,,,,,,,,,
#1,"1""",25,HSB15802,HSB15802C,,,,,,,,,,,,,,,,,,,,,,,
#2,"1""",25,HSB15803,HSB15803C,,,,,,,,,,,,,,,,,,,,,,,
#3,"1""",25,HSB15804,HSB15804C,,,,,,,,,,,,,,,,,,,,,,,
#3,"1-1/4""",25,HSB15807,HSB15807C,,,,,,,,,,,,,,,,,,,,,,,
#1,"1-15/16""",25,HSB15845,HSB15845C,,,,,,,,,,,,,,,,,,,,,,,
#1,"2-3/4""",10,HSB15848,HSB15848C,,,,,,,,,,,,,,,,,,,,,,,
#1,"3""",10,HSB15851,HSB15851C,,,,,,,,,,,,,,,,,,,,,,,
#1,"3-1/2""",10,HSB15851A,HSB15851AC,,,,,,,,,,,,,,,,,,,,,,,
#2,"1-15/16""",25,HSB15846,HSB15846C,,,,,,,,,,,,,,,,,,,,,,,
#2,"2-3/4""",10,HSB15849,HSB15849C,,,,,,,,,,,,,,,,,,,,,,,
#2,"3""",10,HSB15852,HSB15852C,,,,,,,,,,,,,,,,,,,,,,,
#2,"3-1/2""",10,HSB15852A,HSB15852AC,,,,,,,,,,,,,,,,,,,,,,,
#2,"6""",10,HSB15860,—,,,,,,,,,,,,,,,,,,,,,,,
#1R,"1""",25,HSB15806,HSB15806C,,,,,,,,,,,,,,,,,,,,,,,
#2R,"1""",25,HSB15805,HSB15805C,,,,,,,,,,,,,,,,,,,,,,,
#3,"1-15/16""",25,HSB15847,HSB15847C,,,,,,,,,,,,,,,,,,,,,,,
#3,"2-3/4""",10,HSB15850,HSB15850C,,,,,,,,,,,,,,,,,,,,,,,
#3,"3""",10,HSB15853,HSB15853C,,,,,,,,,,,,,,,,,,,,,,,
#3,"3-1/2""",10,HSB15853A,HSB15853AC,,,,,,,,,,,,,,,,,,,,,,,
#3,"4""",10,HSB15856,—,,,,,,,,,,,,,,,,,,,,,,,
#3,"5""",10,HSB15859,—,,,,,,,,,,,,,,,,,,,,,,,
#3,"6""",10,HSB15862,—,,,,,,,,,,,,,,,,,,,,,,,
