STOCK #,POINT,SIZE,OAL,PACK,QTy. IN HANG-UP BOX
HSB16055,#1 - 2,"1-15/16\"",25""",HSB16055C,,
HSB16059,E SELECT-A-BIT,"3\"",10""",HSB16059C,,
HSB16056,#2 - 3,"1-15/16\"",25""",HSB16056C,,
HSB16060,JAR DISPLAY,"3\"",10""",HSB16060C,,
HSB16057,#3 - 4,"1-15/16\"",25""",HSB16057C,,
HSB16061,CONTENTS ITEM,"3\"",10""",HSB16061C,,
HSB16058,#4 - 6,"1-15/16\"",25""",HSB16058C,,
HSB16062,JAR DISPLAY,"3\"",10""",HSB16062C,,
HSB15864,#6 - 8,"1-15/16\"",25""",HSB15864C,,
HSB16063,#8 - 10,"3\"",10""",HSB16063C,,
HSB15865,#8 - 10,"1-15/16\"",25""",HSB15865C,,
HSB15867,#8 - 10,"3\"",10""",HSB15867C,,
HSB15871,#10 - 12,"1-15/16\"",25""",HSB15871C,,
