POINT,SIZE,OAL,PACK,BU,LK,CARDED,STOCK #,STOCK #C
#1,"1\"",25""", , , ,HSB15832,HSB15832C,,
#2,"1\"",25""", , , ,HSB15833,HSB15833C,,
#3,"1\"",25""", , , ,HSB15834,HSB15834C,,
T4,"1\"",25""", , , ,HSB16065,HSB16065C,,
T5,"1\"",25""", , , ,HSB16066,HSB16066C,,
T6,"1\"",25""", , , ,HSB15820,HSB15820C,,
T7,"1\"",25""", , , ,HSB15821,HSB15821C,,
T8,"1\"",25""", , , ,HSB15822,HSB15822C,,
T9,"1\"",25""", , , ,HSB15823,HSB15823C,,
T10,"1\"",25""", , , ,HSB15824,HSB15824C,,
T15,"1\"",25""", , , ,HSB15825,HSB15825C,,
T20,"1\"",25""", , , ,HSB15826,HSB15826C,,
T30,"1\"",25""", , , ,HSB15829,HSB15829C,,
#1,"1-1/4\"",25""", , , ,HSB16041,HSB16041C,,
#2,"1-1/4\"",25""", , , ,HSB16042,HSB16042C,,
#3,"1-1/4\"",25""", , , ,HSB16043,HSB16043C,,
T40,"1\"",25""", , , ,HSB15830,HSB15830C,,
T45,"1\"",25""", , , ,HSB15831,HSB15831C,,
T30,"1-1/4\"",25""", , , ,HSB16030,HSB16030C,,
T40,"1-1/4\"",25""", , , ,HSB16031,HSB16031C,,
T45,"1-1/4\"",25""", , ,),HSB16032,HSB16032C,,
T47,"1-1/4\"",25""", , , ,HSB16033,HSB16033C,,
T50,"1-1/4\"",20""", , , ,HSB16034,HSB16034C,,
T55,"1-1/4\"",20""", , , ,HSB16035,HSB16035C,,
#1,"1-15/16\"",25""", , , ,HSB15896,HSB15896C,,
#2,"1-15/16\"",25""", , , ,HSB15897,HSB15897C,,
#3,"1-15/16\"",25""", , , ,HSB15898,HSB15898C,,
