STOCK #,POINT,SIZE,OAL,PACK,BU,LK,CARDED
HSB15888, ,"1-15/16\"",25""", , , ,,
HSB16067,T10,"3\"",10""", , , ,,
HSB16074, ,"4\"",10""", , , ,,
HSB16081, ,"6\"",10""", , , ,,
HSB15889, ,"1-15/16\"",25""", , , ,,
HSB16068,T15,"3\"",10""", , , ,,
HSB16075, ,"4\"",10""", , , ,,
HSB16082, ,"6\"",10""", , , ,,
HSB15890, ,"1-15/16\"",25""", , , ,,
HSB16069,T20,"3\"",10""", , , ,,
HSB16076, ,"4\"",10""", , , ,,
HSB16083, ,"6\"",10""", , , ,,
HSB15891, ,"1-15/16\"",25""", , , ,,
HSB16070,T25,"3\"",10""", , , ,,
HSB16077, ,"4\"",10""", , , ,,
HSB16084, ,"6\"",10""", , , ,,
HSB15892, ,"1-15/16\"",25""", , , ,,
HSB16071,T27,"3\"",10""", , , ,,
HSB16078, ,"4\"",10""", , , ,,
HSB16085, ,"6\"",10""", , , ,,
HSB15893, ,"1-15/16\"",25""", , , ,,
HSB16072,T30,"3\"",10""", , , ,,
HSB16079, ,"4\"",10""", , , ,,
HSB16086, ,"6\"",10""", , , ,,
HSB15894, ,"1-15/16\"",25""", , , ,,
HSB16073,T40,"3\"",10""", , , ,,
HSB16080, ,"4\"",10""", , , ,,
HSB16087, ,"6\"",10""", , , ,,
HSB16080A,T45,"4\"",10""", , , ,,
