Hex Shank," ""Size"""," ""OAL"""," ""PACK"""," ""STOCK #"""," ""POINT"""
"1/4"" Hex Shank"," ""#2 Phillips"" "," ""1"""" "," ""25"""," ""HSB15901"""," ""#2 Phillips"""
"1/4"" Hex Shank"," ""#6-8 Slotted"" "," ""1"""" "," ""25"""," ""HSB15902"""," ""#6-8 Slotted"""
"1/4"" Hex Shank"," ""2.0"" "," ""1"""" "," ""25"""," ""HSB16101"""," """""
"1/4"" Hex Shank"," ""2.5"" "," ""1"""" "," ""25"""," ""HSB16102"""," """""
"1/4"" Hex Shank"," ""3.0"" "," ""1"""" "," ""25"""," ""HSB16103"""," """""
"1/4"" Hex Shank"," ""4.0"" "," ""1"""" "," ""25"""," ""HSB16104"""," """""
"1/4"" Hex Shank"," ""5.0"" "," ""1"""" "," ""25"""," ""HSB16105"""," """""
"1/4"" Hex Shank"," ""6.0"" "," ""1"""" "," ""25"""," ""HSB16106"""," """""
"1/4"" Hex Shank"," ""#1 Phillips"" "," ""1"""" "," ""25"""," ""HSB15904"""," ""#1 Phillips"""
"1/4"" Hex Shank"," ""#2 Phillips"" "," ""1"""" "," ""25"""," ""HSB15905"""," ""#2 Phillips"""
"1/4"" Hex Shank"," ""#6-8 Slotted"" "," ""1"""" "," ""25"""," ""HSB15906"""," ""#6-8 Slotted"""
"1/4"" Hex Shank"," ""#3 Phillips"" "," ""1"""" "," ""25"""," ""HSB15907"""," ""#10-12 Slotted"""
