Hex Shank," ""Size"""," ""OAL"""," ""PACK"""," ""STOCK #"""," ""POINT"""
"1/4"" Hex Shank"," ""#2 Phillips"" "," ""1-15/16"""" "," ""25"""," ""HSB15908"""," ""#2 Sq . Recess"""
"1/4"" Hex Shank"," ""#1 Sq . Recess"" "," ""1-15/16"""" "," ""25"""," ""HSB15909"""," ""#1 Sq . Recess"""
"1/4"" Hex Shank"," ""5/64"""" "," ""1-15/16"""" "," ""25"""," ""HSB16201"""," """""
"1/4"" Hex Shank"," ""3/32"""" "," ""1-15/16"""" "," ""25"""," ""HSB16202"""," """""
"1/4"" Hex Shank"," ""1/8"""" "," ""1-15/16"""" "," ""25"""," ""HSB16203"""," """""
"1/4"" Hex Shank"," ""5/32"""" "," ""1-15/16"""" "," ""25"""," ""HSB16204"""," """""
"1/4"" Hex Shank"," ""3/16"""" "," ""1-15/16"""" "," ""25"""," ""HSB16205"""," ""#2 Phillips"""
"1/4"" Hex Shank"," ""7/32"""" "," ""1-15/16"""" "," ""25"""," ""HSB16206"""," ""#2 Phillips"""
"1/4"" Hex Shank"," ""1/4"""" "," ""1-15/16"""" "," ""25"""," ""HSB16207"""," ""#2 Phillips"""
"1/4"" Hex Shank"," ""5/16"""" "," ""1-15/16"""" "," ""25"""," ""HSB16208"""," ""#2 Phillips"""
"1/4"" Hex Shank"," ""3/8"""" "," ""1-15/16"""" "," ""20"""," ""HSB16209"""," ""#2 Phillips"""
"1/4"" Hex Shank"," ""#2 Sq . Recess"" "," ""1-15/16"""" "," ""25"""," ""HSB15913"""," ""#2 Sq . Recess"""
"1/4"" Hex Shank"," ""#8 Slotted"" "," ""1-15/16"""" "," ""25"""," ""HSB15914"""," ""#8 Slotted"""
"1/4"" Hex Shank"," ""#1 Sq . Recess"" "," ""1-15/16"""" "," ""25"""," ""HSB15915"""," ""#1 Sq . Recess"""
"1/4"" Hex Shank"," ""#2 Sq . Recess"" "," ""1-15/16"""" "," ""25"""," ""HSB15916"""," ""#2 Sq . Recess"""
