HEAD SIZE x OAL,PACK,STOCK #,BULK STOCK #
"1/4"" x 1-1/16""",10,HSN15911,HSN15911C
"5/16"" x 1-1/16""",10,HSN15912,HSN15912C
"3/8"" x 1-1/16""",10,HSN15913,HSN15913C
"6MM x 1-1/8""",10,HSN15950,HSN15950C
"7MM x 1-1/8""",10,HSN15951,HSN15951C
"8MM x 1-1/8""",10,HSN15952,HSN15952C
"10MM x 1-1/8""",10,HSN15953,HSN15953C
"1/4"" x 1-3/4""",10,HSN15930,HSN15930C
"5/16"" x 1-3/4""",10,HSN15931,HSN15931C
"3/8"" x 1-3/4""",10,HSN15932,HSN15932C
"6MM x 1-3/4""",10,HSN15956,HSN15956C
"7MM x 1-3/4""",10,HSN15957,HSN15957C
"8MM x 1-3/4""",10,HSN15958,HSN15958C
"10MM x 1-3/4""",10,HSN15959,HSN15959C
"1/4"" x 2-9/16""",10,HSN15934,HSN15934C
"5/16"" x 2-9/16""",10,HSN15935,HSN15935C
"3/8"" x 2-9/16""",10,HSN15936,HSN15936C
"6MM x 2-9/16""",10,HSN15961,HSN15961C
"7MM x 2-9/16""",10,HSN15962,HSN15962C
"8MM x 2-9/16""",10,HSN15963,HSN15963C
"10MM x 2-9/16""",10,HSN15964,HSN15964C
"1/4"" x 4""",10,HSN15938,HSN15938C
"5/16"" x 4""",10,HSN15939,HSN15939C
"3/8"" x 4""",10,HSN15940,HSN15940C
"7/16"" x 4""",10,HSN15941,HSN15941C
"1/2"" x 4""",10,HSN15942,HSN15942C
"1/4"" x 6""",10,HSN15943,HSN15943C
"5/16"" x 6""",10,HSN15944,HSN15944C
"3/8"" x 6""",10,HSN15945,HSN15945C
"7/16"" x 6""",10,HSN15946,HSN15946C
"1/2"" x 6""",10,HSN15947,HSN15947C
