SIZE,L ONG A RM,SHORT ARM,STOCK #,SIZE.1,L ONG A RM.1,SHORT ARM.1,STOCK #.1
"1/16""","3.00""","0.56""",HK15204,T6,"1.59""","0.46""",HK15251
"5/64""","3.19""","0.61""",HK15205,T7,"1.64""","0.51""",HK15252
"3/32""","3.38""","0.66""",HK15206,T8,"1.74""","0.56""",HK15253
"7/64""","3.56""","0.70""",HK15207,T9,"1.88""","0.61""",HK15254
"1/8""","3.75""","0.75""",HK15208,T10,"2.00""","0.66""",HK15255
"9/64""","3.94""","0.80""",HK15209,T15,"2.13""","0.71""",HK15256
"5/32""","4.12""","0.84""",HK15210,T20,"2.25""","0.75""",HK15257
"3/16""","4.50""","0.94""",HK15212,T25,"2.38""","0.80""",HK15258
"7/32""","4.88""","1.03""",HK15214,T27,"2.00""","0.66""",HK15259
"1/4""","5.25""","1.12""",HK15216,T30,"2.13""","0.71""",HK15260
"5/16""","6.00""","1.25""",HK15220,T40,"2.25""","0.75""",HK15261
"3/8""","6.75""","1.38""",HK15224,T45,"2.25""","0.75""",HK15262
"7/16""","7.50""","1.50""",HK15228,T50,"2.25""","0.75""",HK15263
"1/2""","8.25""","1.63""",HK15232,,,,
"9/16""","9.00""","1.75""",HK15236,,,,
"5/8""","9.75""","1.88""",HK15240,,,,
"3/4""","11.25""","2.13""",HK15248,,,,
