SIZE,L ONG A RM,SHORT ARM,STOCK #
Expanded T6,"2.77""","0.46""",HK15271
T7,"2.82""","0.51""",HK15272
T8,"2.99""","0.56""",HK15273
T9,"3.19""","0.61""",HK15274
"3/32""","5.25""","1.00""",*HK90206
"1/8""","5.25""","1.00""",*HK90208
"5/32""","5.25""","1.20""",*HK90210
"3/16""","5.25""","1.20""",*HK90212
"7/32""","5.25""","1.20""",*HK90214
"1/4""","5.25""","1.38""",*HK90216
"5/16""","5.25""","1.38""",*HK90220
"3/8""","5.25""","1.38""",*HK90224
T25,"3.94""","0.80""",HK15278
T27,"4.13""","0.85""",HK15279
T30,"4.50""","0.94""",HK15280
T40,"4.88""","1.03""",HK15281
T45,"5.25""","1.13""",HK15282
T50,"6.00""","1.25""",HK15283
