SIZE,L,O N G A R M,SHORT ARM,STOCK #,TyPE,SIZES,STOCK #.1
.050,"2 .84""","0 .53""",HK18203,LONG ARM,,,
"1/16""","3 .00""","0 .56""",HK18204,INCH SET,,,
,"5/64""","3/32""","4 .25""","0 .70""",HK18205,,
"9/64""","3 .56""","0 .70""",HK18207,"7/32"", 1/4"", 5/16"", 3/8""",,,
"1/8""","3 .75""","0 .75""",HK18208,,,,
"9/64""","3 .94""","0 .80""",HK18209,,,,
"5/32""","4 .12""","0 .84""",HK18210,,,,
"3/16""","4 .50""","0 .94""",HK18212,,,,
"7/32""","4 .88""","1 .03""",HK18214,,,,
"1/4""","5 .25""","1 .12""",HK18216,,,,
"5/16""","6 .00""","1 .25""",HK18220,,,,
"3/8""","6 .75""","1 .38""",HK18224,,,,
