"-INCH SIZES""",Unnamed: 1,HEX SIZE,LENGTH,QTy.,METRIC SIZES,LENGTH.1,QTy..1
0.5,1,BD91103,1.3,2.0,0.5,1,BD91602
1.0,BD91104,1.5,2.0,0.5,1.0,BD91603,
1.0,BD91105,2.0,2.0,0.5,1.0,BD91604,
1.0,BD91106,2.5,2.0,0.5,1.0,BD91605,
1.0,BD91107,3.0,5.0,0.0,1.0,BD91606,
1.0,BD91108,4.0,5.0,0.3,1.0,BD91608,
1.0,BD91109,5.0,5.0,0.3,1.0,BD91610,
1.0,BD91110,6.0,5.0,0.5,1.0,BD91612,
1.0,BD91112,8.0,5.0,0.5,1.0,BD91616,
1.0,BD91114,10.0,5.0,0.5,1.0,BD91620,
1.0,BD91116,12.0,8.0,0.1,1.0,BD91624,
1.0,BD91120,,,,,,
1.0,BD91124,,,,,,
1.0,BD91128,,,,,,
1.0,BD91132,,,,,,
