STOCK #,DESCRIPTION,PC. PER SET,QT. BULK 1 PER CARD
BBL9001,35 Pc. #2 Phillips® Reduced Drywall Bits – 32 each,35,1
BBL9001C,35 Pc. #2 Phillips® Reduced Drywall Bits – 32 each,35,1
BBL9002,35 Pc. #2 Square Recess Bits – 32 each,35,1
BBL9002C,35 Pc. #2 Square Recess Bits – 32 each,35,1
BBL9003,35 Pc. #2 Phillips® Reduced Drywall Bits – 16 each,35,1
BBL9003C,35 Pc. #2 Phillips® Reduced Drywall Bits – 16 each,35,1
BBL9004,35 Pc. #2 Phillips® Bits – 32 each,35,1
BBL9004C,35 Pc. #2 Phillips® Bits – 32 each,35,1
BBL9005,"Professional Assorted Set – 2 ea. of the following: #0, 1, 2, 3 Phillips®; #2 Reduced Phillips®; 35 Pc. #6-8, 8-10, 10-12 Slotted;",35,1
BBL9005C,"Professional Assorted Set – 2 ea. of the following: #0, 1, 2, 3 Phillips®; #2 Reduced Phillips®; 35 Pc. #6-8, 8-10, 10-12 Slotted;",35,1
BBL8001T,"Tamper Proof Set – 1 each of the following: 6mm, 8mm, 10mm Torx®, #4, 6, 8, 10 Spanner; #1, 2, 3, 4 Tri-Wing;",35,1
BBL8001TC,"Tamper Proof Set – 1 each of the following: 6mm, 8mm, 10mm Torx®, #4, 6, 8, 10 Spanner; #1, 2, 3, 4 Tri-Wing;",35,1
