SIZE,DECIMAL EQUIV.,FLUTE LENGTH MM,FLUTE LENGTH INCHES,OVERALL LENGTH MM,OVERALL LENGTH INCHES,ALFA USA STOCK #,ECO PRO STOCK #
4.2,0.1654,54,2-1/8,83,3-1/4,MJ151965,MJ251965
4.25,0.1673,54,2-1/8,83,3-1/4,–,MJ251966
4.3,0.1693,54,2-1/8,83,3-1/4,MJ151967,MJ251967
4.4,0.1732,56,2-13/64,86,3-3/8,–,MJ251968
4.5,0.1772,56,2-13/64,86,3-3/8,MJ151969,MJ251969
4.6,0.1811,56,2-13/64,86,3-3/8,MJ151970,MJ251970
4.7,0.185,59,2-21/64,89,3-1/2,MJ151971,MJ251971
4.75,0.187,59,2-21/64,89,3-1/2,–,MJ251972
4.8,0.189,59,2-21/64,89,3-1/2,MJ151973,MJ251973
4.9,0.1929,62,2-7/16,92,3-5/8,MJ151974,MJ251974
5,0.1969,62,2-7/16,92,3-5/8,MJ151975,MJ251975
5.1,0.2008,62,2-7/16,92,3-5/8,MJ151976,MJ251976
5.2,0.2047,64,2-1/2,95,3-3/4,MJ151977,MJ251977
5.25,0.2067,64,2-1/2,95,3-3/4,–,MJ251978
5.3,0.2087,64,2-1/2,95,3-3/4,MJ151979,MJ251979
5.4,0.2126,64,2-1/2,95,3-3/4,MJ151980,MJ251980
5.5,0.2165,64,2-1/2,95,3-3/4,MJ151981,MJ251981
5.6,0.2205,67,2-5/8,98,3-7/8,MJ151982,MJ251982
5.7,0.2244,67,2-5/8,98,3-7/8,MJ151983,MJ251983
5.75,0.2264,67,2-5/8,98,3-7/8,MJ151984,MJ251984 A
5.8,0.2283,67,2-5/8,98,3-7/8,MJ151985,MJ251985
5.9,0.2323,67,2-5/8,98,3-7/8,MJ151986,MJ251986
6,0.2362,70,2-3/4,102,4,MJ151987,MJ251987
6.1,0.2402,70,2-3/4,102,4,MJ151988,MJ251988
6.2,0.2441,70,2-3/4,102,4,MJ151989,MJ251989
6.25,0.2461,70,2-3/4,102,4,MJ151990,MJ251990
6.3,0.248,70,2-3/4,102,4,MJ151991,MJ251991
6.4,0.252,73,2-7/8,105,4-1/8,MJ151992,MJ251992
6.5,0.2559,73,2-7/8,105,4-1/8,MJ151993,MJ251993
6.6,0.2598,73,2-7/8,105,4-1/8,MJ151994,MJ251994
6.7,0.2638,73,2-7/8,105,4-1/8,MJ151995,MJ251995
6.75,0.2657,73,2-7/8,105,4-1/8,MJ151996,MJ251996
6.8,0.2677,73,2-7/8,105,4-1/8,MJ151997,MJ251997
6.9,0.2717,73,2-7/8,105,4-1/8,MJ151998,MJ251998
7,0.2756,73,2-7/8,105,4-1/8,MJ151999,MJ251999
7.1,0.2795,75,2-61/64,108,4-1/4,MJ152000,MJ252000
7.2,0.2835,75,2-61/64,108,4-1/4,MJ152001,MJ252001
7.25,0.2854,75,2-61/64,108,4-1/4,MJ152002,MJ252002
7.3,0.2874,75,2-61/64,108,4-1/4,MJ152003,MJ252003
7.4,0.2913,78,3,111,4-3/8,MJ152004,MJ252004
7.5,0.2953,78,3,111,4-3/8,MJ152005,MJ252005
7.6,0.2992,78,3,111,4-3/8,MJ152006,MJ252006
7.7,0.3031,81,3-3/16,114,4-1/2,MJ152007,MJ252007
7.75,0.3051,81,3-3/16,114,4-1/2,–,MJ252008
7.8,0.3071,81,3-3/16,114,4-1/2,MJ152009,MJ252009
7.9,0.311,81,3-3/16,114,4-1/2,MJ152010,MJ252010
8,0.315,81,3-3/16,114,4-1/2,MJ152011,MJ252011
8.1,0.3189,84,3-5/16,117,4-9/16,MJ152012,MJ252012
8.2,0.3228,84,3-5/16,117,4-9/16,MJ152013,MJ252013
8.25,0.3248,84,3-5/16,117,4-5/8,–,MJ252014
8.3,0.3268,84,3-5/16,117,4-9/16,MJ152015,MJ252015
8.4,0.3307,87,3-27/64,121,4-3/4,MJ152016,MJ252016
8.5,0.3346,87,3-27/64,121,4-3/4,MJ152017,MJ252017
8.6,0.3386,87,3-27/64,121,4-3/4,MJ152018,MJ252018
8.7,0.3425,87,3-27/64,121,4-3/4,MJ152019,MJ252019
8.75,0.3445,89,3-1/2,124,4-7/8,–,MJ252020
8.8,0.3465,89,3-1/2,124,4-7/8,MJ152021,MJ252021
8.9,0.3504,89,3-1/2,124,4-7/8,–,MJ252022
9,0.3543,89,3-1/2,124,4-7/8,MJ152023,MJ252023
9.1,0.3583,89,3-1/2,124,4-7/8,MJ152024,MJ252024
9.2,0.3622,92,3-5/8,127,5,MJ152025,MJ252025
