DIA.,OA L,DIA..1,BRIGHT PLATED,BLACK OXIDE
"1/8""",MD60501,MD60501C,MDBL60501,MDBL60501C
"3/16""",MD60502,MD60502C,MDBL60502,MDBL60502C
"1/4""",MD60503,MD60503C,MDBL60503,MDBL60503C
"1/4""",MD60504,MD60504C,MDBL60504,MDBL60504C
"1/4""",MD60505,MD60505C,MDBL60505,MDBL60505C
"1/4""",MD60506,MD60506C,MDBL60506,MDBL60506C
"3/16""",MD60507A,MD60507AC,MDBL60507A,MDBL60507AC
"1/4""",MD60507,MD60507C,MDBL60507,MDBL60507C
"1/4""",MD60508,MD60508C,MDBL60508,MDBL60508C
"3/8""",MD60509,MD60509C,MDBL60509,MDBL60509C
"3/8""",MD60510,MD60510C,MDBL60510,MDBL60510C
"1/4""",MD60511,MD60511C,MDBL60511,MDBL60511C
"3/8""",MD60512,MD60512C,MDBL60512,MDBL60512C
"3/8""",MD60513,MD60513C,MDBL60513,MDBL60513C
"3/8""",MD60514,MD60514C,MDBL60514,MDBL60514C
"1/2""",MD60515,MD60515C,MDBL60515,MDBL60515C
"1/2""",MD60516,MD60516C,MDBL60516,MDBL60516C
"1/2""",MD60517,MD60517C,MDBL60517,MDBL60517C
"1/2""",MD60518,MD60518C,MDBL60518,MDBL60518C
"1/4""",MD60519,MD60519C,MDBL60519,MDBL60519C
"5/16""",MD60520,MD60520C,MDBL60520,MDBL60520C
"3/8""",MD60521,MD60521C,MDBL60521,MDBL60521C
"3/8""",MD60522,MD60522C,MDBL60522,MDBL60522C
"3/8""",MD60523,MD60523C,MDBL60523,MDBL60523C
"1/2""",MD60524,MD60524C,MDBL60524,MDBL60524C
"1/2""",MD60525,MD60525C,MDBL60525,MDBL60525C
"1/2""",MD60526,MD60526C,MDBL60526,MDBL60526C
"5/16""",–,–,MDBL60530,MDBL60530T
"3/8""",–,–,MDBL60532,MDBL60532T
"3/8""",–,–,MDBL60534,MDBL60534T
"1/2""",–,–,MDBL60536,MDBL60536T
"1/2""",–,–,MDBL60538,MDBL60538T
"1/2""",–,–,MDBL60540,MDBL60540T
"1/2""",–,–,MDBL60542,MDBL60542T
