DIAL,R,IL,L,TIN,H,G,OA L,SH,D,A,IA,N,K,BU LK,STOC K #,TUBE
"1/8\"",1-1/2","3""","1/8""",MHD62001,MHD62001P,,,,,,,,,,,,
"3/16\"",2","3-1/2""","3/16""",MHD62002,MHD62002P,,,,,,,,,,,,
"3/16\"",4-1/2","6""","3/16""",MHD62003,MHD62003P,,,,,,,,,,,,
"3/16\"",6-1/2","8""","3/16""",MHD62003A,MHD62003AP,,,,,,,,,,,,
"7/32\"",4-1/2","6""","3/16""",MHD62004A,MHD62004AP,,,,,,,,,,,,
"1/4\"",2-1/2","4""","1/4""",MHD62004,MHD62004P,,,,,,,,,,,,
"1/4\"",4-1/2","6""","1/4""",MHD62005,MHD62005P,,,,,,,,,,,,
"1/4\"",10-1/2","12""","1/4""",MHD62006,MHD62006P,,,,,,,,,,,,
"1/4\"",16","20""","1/4""",MHD62007,MHD62007P,,,,,,,,,,,,
"1/4\"",20","24""","1/4""",MHD62008,MHD62008P,,,,,,,,,,,,
"5/16\"",3-1/4","4-3/4""","1/4""",MHD62009,MHD62009P,,,,,,,,,,,,
"5/16\"",4-1/2","6""","1/4""",MHD62010,MHD62010P,,,,,,,,,,,,
"5/16\"",10-1/2","12""","1/4""",MHD62011,MHD62011P,,,,,,,,,,,,
"3/8\"",4-1/2","6""","1/4""",MHD62013,MHD62013P,,,,,,,,,,,,
"3/8\"",10-1/2","12""","1/4""",MHD62014,MHD62014P,,,,,,,,,,,,
"3/8\"",18-1/2","20""","1/4""",MHD62015,MHD62015P,,,,,,,,,,,,
"3/8\"",20","24""","3/8""",MHD62016,MHD62016P,,,,,,,,,,,,
"7/16\"",4-1/2","6""","3/8""",MHD62017,MHD62017P,,,,,,,,,,,,
"1/2\"",4-1/2","6""","3/8""",MHD62020,MHD62020P,,,,,,,,,,,,
"1/2\"",10-1/2","12""","3/8""",MHD62021,MHD62021P,,,,,,,,,,,,
"1/2\"",16","20""","3/8""",MHD62022,MHD62022P,,,,,,,,,,,,
"1/2\"",22-1/2","24""",3/8,MHD62023,MHD62023P,,,,,,,,,,,,
"5/8\"",4-1/2","6""","3/8""",Hex,MHD62024,MHD62024P,,,,,,,,,,,
"5/8\"",10-1/2","12""","3/8""",Hex,MHD62025,MHD62025P,,,,,,,,,,,
"5/8\"",16","20""","3/8""",Hex,MHD62026,MHD62026P,,,,,,,,,,,
"5/8\"",22-1/2","24""","3/8""",Hex,MHD62027,MHD62027P,,,,,,,,,,,
"3/4\"",4-1/2","6""","1/2""",Hex,MHD62028,MHD62028P,,,,,,,,,,,
"3/4\"",10-1/2","12""","1/2""",Hex,MHD62029,MHD62029P,,,,,,,,,,,
"3/4\"",20","24""","1/2""",Hex,MHD62031,MHD62031P,,,,,,,,,,,
"7/8\"",4-1/2","6""","1/2""",Hex,MHD62032,MHD62032P,,,,,,,,,,,
"7/8\"",10-1/2","12""","1/2""",Hex,MHD62033,MHD62033P,,,,,,,,,,,
"F 7/8\"",20","24""","1/2""",Hex,MHD62035,MHD62035P,,,,,,,,,,,
"1\"",4-1/2","6""","1/2""",Hex,MHD62036,MHD62036P,,,,,,,,,,,
"1\"",10-1/2","12""","1/2""",Hex,MHD62037,MHD62037P,,,,,,,,,,,
"1\"",20","24""","1/2""",Hex,MHD62039,MHD62039P,,,,,,,,,,,
Bulk,"1/8\ - 5/16\""""",6 per pack,"3/8\ - 1/2\""""",3 per pack,Tube,1 per each,,,,,,,,,,
"5/8\ - 1\""""",1 per pack,,,,,,,,,,,,,,,
