STOCK #,DRILLING DIA.,OAL,DEP TH,TUBE,CUTTING HEAD
HDSS6701,"3/8""","5""","10""",DUO,
HDSS6702,"1/2""","5""","10""",DUO,
HDSS6703,"1/2""","11""","16""",DUO,
HDSS6704,"1/2""","17""","22""",DUO,
HDSS6705,"1/2""","24""","29""",DUO,
HDSS6706,"1/2""","31""","36""",DUO,
HDSS6707,"5/8""","5""","10""",DUO,
HDSS6708,"5/8""","11""","16""",DUO,
HDSS6709,"5/8""","17""","22""",DUO,
HDSS6710,"5/8""","31""","36""",DUO,
HDSS6711,"3/4""","5""","10""",DUO,
HDSS6712,"3/4""","11""","16""",DUO,
HDSS6713,"3/4""","17""","22""",DUO,
HDSS6714,"3/4""","31""","36""",DUO,
HDSS6715,"7/8""","11""","16""",DUO,
HDSS6716,"7/8""","17""","22""",DUO,
HDSS6717,"7/8""","31""","36""",DUO,
HDSS6718,"1""","8""","13""",DUO,
HDSS6719,"1""","11""","16""",DUO,
HDSS6720,"1""","17""","22""",DUO,
HDSS6721,"1""","31""","36""",DUO,
HDSS6722,"1-1/8""","11""","16""",DUO,
HDSS6723,"1-1/8""","17""","22""",DUO,
HDSS6724,"1-1/4""","11""","16""",DUO,
HDSS6725,"1-1/4""","17""","22""",DUO,
HDSS6726,"1-1/4""","31""","36""",DUO,
HDSS6727,"1-3/8""","11""","16""",DUO,
HDSS6728,"1-3/8""","17""","22""",DUO,
HDSS6729,"1-1/2""","11""","16""",DUO,
HDSS6730,"1-1/2""","17""","22""",DUO,
HDSS6731,"1-3/4""","17""","22""",DUO,
HDSS6732,"2""","17""","22""",DUO,
HDSS6804,"5/8""","5""","10""",QUADRO,
HDSS6805,"5/8""","11""","16""",QUADRO,
HDSS6806,"5/8""","17""","22""",QUADRO,
HDSS6807,"5/8""","24""","29""",QUADRO,
HDSS6808,"3/4""","5""","10""",QUADRO,
HDSS6809,"3/4""","11""","16""",QUADRO,
HDSS6810,"3/4""","17""","22""",QUADRO,
HDSS6811,"3/4""","24""","29""",QUADRO,
HDSS6812,"7/8""","11""","16""",QUADRO,
HDSS6813,"7/8""","17""","22""",QUADRO,
HDSS6814,"1""","11""","16""",QUADRO,
HDSS6815,"1""","17""","22""",QUADRO,
HDSS6816,"1-1/8""","11""","16""",QUADRO,
HDSS6817,"1-1/8""","17""","22""",QUADRO,
HDSS6818,"1-1/4""","11""","16""",QUADRO,
HDSS6819,"1-1/4""","17""","22""",QUADRO,
HDSS6820,"1-3/8""","11""","16""",QUADRO,
HDSS6821,"1-3/8""","17""","22""",QUADRO,
HDSS6822,"1-1/2""","17""","22""",QUADRO,
HDSS6823,"2""","18""","23""",QUADRO,
