STOCK #,SDS-PLUS,DIA.,DEPTH,OAL,BULK,TUBE,CONTRACTOR,BULK PACKS
SDS62401,SDS62401P,"5/32""","2""","4-1/4""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62402,SDS62402P,"5/32""","4""","6-1/4""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62403,SDS62403P,"3/16""","2""","4-1/4""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62404,SDS62404P,"3/16""","4""","6-1/4""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62405,SDS62405P,"3/16""","6""","8-1/4""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62406,SDS62406P,"3/16""","8""","10""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62407,SDS62407P,"3/16""","10""","12""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62409,SDS62409P,"7/32""","4""","6-1/4""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62410,SDS62410P,"7/32""","6""","8-1/4""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62412,SDS62412P,"7/32""","9""","11""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62413,SDS62413P,"7/32""","14""","16""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62414,SDS62414P,"1/4""","2""","4-1/4""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62415,SDS62415P,"1/4""","4""","6-1/4""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62416,SDS62416P,"1/4""","6""","8-1/4""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62417,SDS62417P,"1/4""","9""","11""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62419,SDS62419P,"1/4""","12""","14""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62420,SDS62420P,"1/4""","14""","16""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62421,SDS62421P,"5/16""","4""","6-1/4""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62422,SDS62422P,"5/16""","10""","12-1/4""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62423,SDS62423P,"3/8""","4""","6-1/4""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62424,SDS62424P,"3/8""","8""","10-1/4""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62425,SDS62425P,"3/8""","10""","12-1/4""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62426,SDS62426P,"3/8""","16""","18""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62427,SDS62427P,"3/8""","22""","24""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62428,SDS62428P,"7/16""","4""","6-1/4""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62429,SDS62429P,"7/16""","10""","12-1/4""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62430,SDS62430P,"1/2""","4""","6-1/4""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62431,SDS62431P,"1/2""","8""","10-1/4""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62432,SDS62432P,"1/2""","10""","12-1/4""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62433,SDS62433P,"1/2""","16""","18""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62434,SDS62434P,"1/2""","22""","24""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62435,SDS62435P,"9/16""","4""","6-1/4""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62436,SDS62436P,"9/16""","10""","12-1/4""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62437,SDS62437P,"9/16""","16""","18""",DRILL DRILLING PKG.,DRILL DRILLING PKG.,,
SDS62438P,_,"5/8""","4""","6-1/4""",_,_,,
SDS62439P,_,"5/8""","6""","8""",_,_,,
SDS62440P,_,"5/8""","10""","12""",_,_,,
SDS62441P,_,"5/8""","16""","18""",_,_,,
SDS62442P,_,"5/8""","22""","24""",_,_,,
SDS62443P,_,"11/16""","6""","8""",_,_,,
SDS62444P,_,"3/4""","6""","8""",_,_,,
SDS62445P,_,"3/4""","10""","12""",_,_,,
SDS62446P,_,"3/4""","16""","18""",_,_,,
SDS62447P,_,"13/16""","6""","8""",_,_,,
SDS62448P,_,"7/8""","6""","8""",_,_,,
SDS62449P,_,"7/8""","10""","12-1/4""",_,_,,
SDS62450P,_,"1""","8""","10""",_,_,,
SDS62452P,_,"1""","16""","18""",_,_,,
