DRILL,DIA.,DEPTH,OA L,STOCK #,BULK TUBE
"3/16""","2""","4-1/4""",SDSQ72401,SDSQ72401P,
"3/16""","4""","6-1/4""",SDSQ72402,SDSQ72402P,
"3/16""","6""","8-1/4""",SDSQ72403,SDSQ72403P,
"3/16""","8""","10-1/4""",SDSQ72404,SDSQ72404P,
"3/16""","10""","12-1/4""",SDSQ72405,SDSQ72405P,
"1/4""","2""","4-1/4""",SDSQ72406,SDSQ72406P,
"1/4""","4""","6-1/4""",SDSQ72407,SDSQ72407P,
"1/4""","6""","8-1/4""",SDSQ72409,SDSQ72409P,
"1/4""","8""","10-1/4""",SDSQ72410,SDSQ72410P,
"1/4""","10""","12-1/4""",SDSQ72411,SDSQ72411P,
"5/16""","4""","6-1/4""",SDSQ72412,SDSQ72412P,
"5/16""","10""","12-1/4""",SDSQ72413,SDSQ72413P,
"5/16""","16""","18-1/4""",SDSQ72414,SDSQ72414P,
"3/8""","4""","6-1/4""",SDSQ72415,SDSQ72415P,
"3/8""","10""","12-1/4""",SDSQ72416,SDSQ72416P,
"3/8""","16""","18""",SDSQ72417,SDSQ72417P,
"7/16""","4""","6-1/4""",SDSQ72418,SDSQ72418P,
"7/16""","10""","12-1/4""",SDSQ72419,SDSQ72419P,
"7/16""","16""","18""",SDSQ72420,SDSQ72420P,
"1/2""","4""","6-1/4""",SDSQ72421,SDSQ72421P,
"1/2""","10""","12-1/4""",SDSQ72422,SDSQ72422P,
"1/2""","16""","18""",SDSQ72423,SDSQ72423P,
"9/16""","4""","6-1/4""",—,SDSQ72424P,
"9/16""","10""","12-1/4""",—,SDSQ72425P,
"9/16""","16""","18""",—,SDSQ72426P,
