HOLE SIZE,SHANK DIAMOND,BIT SIZE,OD,ID,DIA.,LENGTH,GRIT SIZE
1/8,0.13,0.07,5/32,1-5/8,2-1/4,60,DD7001
3/16,0.19,0.12,3/16,2-1/4,2-1/4,60,DD7002
1/4,0.26,0.19,1/4,2-1/4,2-1/4,60,DD7003
5/16,0.32,0.25,1/4,1,2-1/4,60,DD7004
3/8,0.38,0.31,1/4,1,2-1/4,60,DD7005
1/2,0.51,0.43,1/4,1,2-1/4,60,DD7006
5/8,0.63,0.54,5/16,1,2-1/4,50,DD7007
3/4,0.76,0.66,5/16,1,2-1/4,50,DD7008
7/8,0.88,0.78,5/16,1,2-1/4,50,DD7009
1,1.01,0.9,5/16,1,2-1/4,50,DD7010
1-1/8,1.13,1.03,5/16,1,2-1/4,50,DD7011
1-1/4,1.26,1.16,5/16,1,2-1/4,50,DD7012
1-3/8,1.38,1.28,5/16,1,2-1/4,50,DD7013
1-1/2,1.51,1.4,5/16,1,2-1/4,50,DD7014
