DESCRIPTION,STOCK #,"Cup Brushes - 1/4"" Shank Wire Wheels - 1/2"" Bore","Wire Wheels - 1/4"" Shank","Wire End Brushes - 1/4"" Shank",Scratch Brushes
WBM72,,,,,
"2"" Coarse",WB67111C,"2"" Coarse","1-1/2"" Coarse","1/2"" Coarse",
"2"" Fine",WB67112C,"2"" Fine","1-1/2"" Fine","1/2"" Fine",
"3"" Coarse",WB67113C,"3"" Coarse","3"" Coarse","3/4"" Coarse",
"3"" Fine",WB67114C,"3"" Fine","3"" Fine","3/4"" Fine",
"4"" Coarse",WB67133C,"4"" Coarse","4"" Coarse","1"" Coarse",
"4"" Fine",WB67134C,"4"" Fine","4"" Fine","1"" Fine",
"6"" Coarse",WB67137C,"6"" Coarse",,,
"6"" Fine",WB67138C,"6"" Fine",,,
,,,,,WB67194
,,,,,WB67193
,,,,,WB67195
,,,,,WB67143
