STOCK #," ""LENGTH"""," ""SIZE"""," ""QTY. CUT"""," ""CUT"""," ""CUT"".1"
" ""6\"""""," ""1/4\"""""," ""12"""," ""BASTARD"""," ""SECOND"""," ""SMOOTH"""
" ""8\"""""," ""5/16\"""""," ""12"""," ""BASTARD"""," ""SECOND"""," ""SMOOTH"""
" ""4\"""""," ""3/16\"""""," ""12"""," ""-"""," ""-"""," ""-"""
" ""10\"""""," ""3/8\"""""," ""12"""," ""BASTARD"""," ""SECOND"""," ""SMOOTH"""
" ""6\"""""," ""1/4\"""""," ""12"""," ""BASTARD"""," ""SECOND"""," ""SMOOTH"""
" ""12\"""""," ""1/2\"""""," ""6"""," ""BASTARD"""," ""SECOND"""," ""SMOOTH"""
" ""8\"""""," ""5/16\"""""," ""12"""," ""BASTARD"""," ""SECOND"""," ""SMOOTH"""
" ""14\"""""," ""5/8\"""""," ""6"""," ""BASTARD"""," ""SECOND"""," ""SMOOTH"""
" ""10\"""""," ""3/8\"""""," ""12"""," ""BASTARD"""," ""SECOND"""," ""SMOOTH"""
" ""12\"""""," ""1/2\"""""," ""6"""," ""BASTARD"""," ""SECOND"""," ""SMOOTH"""
" ""14\"""""," ""5/8\"""""," ""6"""," ""-"""," ""-"""," ""-"""
