SERIES ITEM,COLOR,SIZE,STOCK #
Small Screw, ,10 ml.,TL2210
TL22 Thread,Purple,50 ml.,TL2250
Locker, ,250 ml.,TL22250
Removable, ,10 ml.,TL4210
TL42 Thread,Blue,50 ml.,TL4250
Locker, ,250 ml.,TL42250
Removable, ,10 ml.,TL4310
TL43 Thread,Blue,50 ml.,TL4350
Locker, ,250 ml.,TL43250
Permanent, ,10 ml.,TL6210
TL62 Thread,Red,50 ml.,TL6250
Locker, ,250 ml.,TL62250
 ,10 ml.,TL7110,
Adhesive,Red,50 ml.,TL7150
Sealant, ,250 ml.,TL71250
THREAD Wicking Grade, ,10 ml.,TL9010
LOCK SERIES,Green,50 ml.,TL9050
Locker, ,250 ml.,TL90250
