SIZE,DECIMAL EQUIV.,FLUTE LENGTH,OVERALL LENGTH,ALFA USA STOCK #
7/64,0.1094,1-5/8,2-3/4,T50104
1/8,0.125,1-5/8,2-3/4,T50105
9/64,0.1406,1-3/4,2-7/8,T50106
5/32,0.1562,2,3-1/8,T50107
11/64,0.1719,2-1/8,3-1/4,T50108
3/16,0.1875,2-5/16,3-1/2,T50109
13/64,0.2031,2-7/16,3-5/8,T50110
7/32,0.2188,2-1/2,3-3/4,T50111
15/64,0.2344,2-5/8,3-7/8,T50112
1/4,0.25,2-3/4,4,T50113
17/64,0.2656,2-7/8,4-1/8,T50114
9/32,0.2812,2-15/16,4-1/4,T50115
19/64,0.2969,3-1/16,4-3/8,T50116
5/16,0.3125,3-3/16,4-1/2,T50117
21/64,0.3281,3-5/16,4-5/8,T50118
11/32,0.3438,3-7/16,4-3/4,T50119
23/64,0.3594,3-1/2,4-7/8,T50120
3/8,0.375,3-5/8,5,T50121
25/64,0.3906,3-3/4,5-1/8,T50122
13/32,0.4062,3-7/8,5-1/4,T50123
27/64,0.4219,3-15/16,5-3/8,T50124
7/16,0.4375,4-1/16,5-1/2,T50125
29/64,0.4531,4-3/16,5-5/8,T50126
15/32,0.4688,4-5/16,5-3/4,T50127
31/64,0.4844,4-3/8,5-7/8,T50128
1/2,0.5,4-1/2,6,T50129
