CUTTING DECIMAL," ""SHANK"""," ""FLUTE"""," ""OVERALL"""," ""ALFA USA"""," ""CUTTING DECIMAL"""," ""SHANK"".1"," ""FLUTE"".1"," ""OVERALL"".1"," ""ALFA USA"".1"," ""STOCK #"""
3/16," "".1875"""," ""11/64"""," ""1-1/2"""," ""3-1/2"""," """""," """""," """""," """""," """""," ""CDD10209"""
13/64," "".2031"""," ""3/16"""," ""1-3/4"""," ""3-3/4"""," """""," """""," """""," """""," """""," ""CDD10210"""
7/32," "".2188"""," ""13/64"""," ""1-3/4"""," ""3-3/4"""," """""," """""," """""," """""," """""," ""CDD10211"""
15/64," "".2344"""," ""7/32"""," ""2"""," ""4"""," """""," """""," """""," """""," """""," ""CDD10212"""
1/4," "".2500"""," ""15/64"""," ""2"""," ""4"""," """""," """""," """""," """""," """""," ""CDD10213"""
17/64," "".2656"""," ""1/4"""," ""2-1/4"""," ""4-1/4"""," """""," """""," """""," """""," """""," ""CDD10214"""
9/32," "".2812"""," ""17/64"""," ""2-1/4"""," ""4-1/4"""," """""," """""," """""," """""," """""," ""CDD10215"""
19/64," "".2969"""," ""9/32"""," ""2-1/2"""," ""4-1/2"""," """""," """""," """""," """""," """""," ""CDD10216"""
5/16," "".3125"""," ""19/64"""," ""2-1/2"""," ""4-1/2"""," """""," """""," """""," """""," """""," ""CDD10217"""
21/64," "".3281"""," ""5/16"""," ""2-3/4"""," ""4-3/4"""," """""," """""," """""," """""," """""," ""CDD10218"""
11/32," "".3438"""," ""21/64"""," ""2-3/4"""," ""4-3/4"""," """""," """""," """""," """""," """""," ""CDD10219"""
23/64," "".3594"""," ""11/32"""," ""3"""," ""5"""," """""," """""," """""," """""," """""," ""CDD10220"""
3/8," "".3750"""," ""23/64"""," ""3"""," ""5"""," """""," """""," """""," """""," """""," ""CDD10221"""
25/64," "".3906"""," ""3/8"""," ""3"""," ""5-1/4"""," """""," """""," """""," """""," """""," ""CDD10222"""
13/32," "".4062"""," ""25/64"""," ""3"""," ""5-1/4"""," """""," """""," """""," """""," """""," ""CDD10223"""
27/64," "".4219"""," ""13/32"""," ""3"""," ""5-1/2"""," """""," """""," """""," """""," """""," ""CDD10224"""
7/16," "".4375"""," ""27/64"""," ""3"""," ""5-1/2"""," """""," """""," """""," """""," """""," ""CDD10225"""
29/64," "".4531"""," """""," """""," """""," """""," """""," """""," """""," """""," ""CDD10226"""
15/32," "".4688"""," """""," """""," """""," """""," """""," """""," """""," """""," ""CDD10227"""
31/64," "".4844"""," """""," """""," """""," """""," """""," """""," """""," """""," ""CDD10228"""
1/2," "".5000"""," """""," """""," """""," """""," """""," """""," """""," """""," ""CDD10229"""
17/32," "".5312"""," """""," """""," """""," """""," """""," """""," """""," """""," ""CDD10231"""
9/16," "".5625"""," """""," """""," """""," """""," """""," """""," """""," """""," ""CDD10233"""
19/32," "".5938"""," """""," """""," """""," """""," """""," """""," """""," """""," ""CDD10235"""
5/8," "".6250"""," """""," """""," """""," """""," """""," """""," """""," """""," ""CDD10237"""
21/32," "".6562"""," """""," """""," """""," """""," """""," """""," """""," """""," ""CDD10239"""
11/16," "".6875"""," """""," """""," """""," """""," """""," """""," """""," """""," ""CDD10241"""
23/32," "".7188"""," """""," """""," """""," """""," """""," """""," """""," """""," ""CDD10243"""
3/4," "".7500"""," """""," """""," """""," """""," """""," """""," """""," """""," ""CDD10245"""
13/16," "".8125"""," """""," """""," """""," """""," """""," """""," """""," """""," ""CDD10247"""
7/8," "".8750"""," """""," """""," """""," """""," """""," """""," """""," """""," ""CDD10249"""
15/16," "".9375"""," """""," """""," """""," """""," """""," """""," """""," """""," ""CDD10251"""
1," ""1.0000"""," """""," """""," """""," """""," """""," """""," """""," """""," ""CDD10253"""
