SIZE,OVERALL LENGTH,STOCK #
1/16, 1-7/8, DB50101
5/64,2, DB50102
3/32, 2-1/4, DB50103
7/64, 2-5/8, DB50104
1/8, 2-3/4, DB50105
9/64, 2-7/8, DB50106
5/32, 3-1/8, DB50107
11/64, 3-1/4, DB50108
3/16, 3-1/2, DB50109
13/64, 3-5/8, DB50110
7/32, 3-3/4, DB50111
15/64, 3-7/8, DB50112
1/4,4, DB50113
17/64, 4-1/8, DB50114
9/32, 4-1/4, DB50115
19/64, 4-3/8, DB50116
5/16, 4-1/2, DB50117
21/64, 4-5/8, DB50118
11/32, 4-3/4, DB50119
23/64, 4-7/8, DB50120
3/8,5, DB50121
25/64, 5-1/8, DB50122
13/32, 5-1/4, DB50123
27/64, 5-3/8, DB50124
7/16, 5-1/2, DB50125
29/64,5-5/8, DB50126
15/32, 5-3/4, DB50127
31/64, 5-7/8, DB50128
1/2,6, DB50129
9/16,6, DB50133
5/8,6, DB50137
11/16,6, DB50141
3/4,6, DB50145
13/16,6, DB50149
7/8,6, DB50153
15/16,6, DB50157
1,6, DB50161
