SIZE,DECIMAL EQUIV.,FLUTE LENGTH,OVERALL LENGTH,ALFA USA STOCK #,DECIMAL.1,FLUTE.1,OVERALL.1,ALFA USA.1
0.0469,1/2,1-3/8,SM50200,33/64,0.5156,2-3/8,3-7/8,SM50230
0.0625,5/8,1-5/8,SM50201,17/32,0.5312,2-3/8,3-7/8,SM50231
0.0781,11/16,1-11/16,SM50202,35/64,0.5469,2-1/2,4,SM50232
0.0938,3/4,1-3/4,SM50203,9/16,0.5625,2-1/2,4,SM50233
0.1094,13/16,1-13/16,SM50204,37/64,0.5781,2-5/8,4-1/8,SM50234
0.125,7/8,1-7/8,SM50205,19/32,0.5938,2-5/8,4-1/8,SM50235
0.1406,15/16,1-15/16,SM50206,39/64,0.6094,2-3/4,4-1/4,SM50236
0.1562,1,2-1/16,SM50207,5/8,0.625,2-3/4,4-1/4,SM50237
0.1719,1-1/16,2-1/8,SM50208,41/64,0.6406,2-7/8,4-1/2,SM50238
0.1875,1-1/8,2-3/16,SM50209,21/32,0.6562,2-7/8,4-1/2,SM50239
0.2031,1-3/16,2-1/4,SM50210,43/64,0.6719,2-7/8,4-5/8,SM50240
0.2188,1-1/4,2-3/8,SM50211,11/16,0.6875,2-7/8,4-5/8,SM50241
0.2344,1-5/16,2-7/16,SM50212,45/64,0.7031,3,4-3/4,SM50242
0.25,1-3/8,2-1/2,SM50213,23/32,0.7188,3,4-3/4,SM50243
0.2656,1-7/16,2-5/8,SM50214,47/64,0.7344,3-1/8,5,SM50244
0.2812,1-1/2,2-11/16,SM50215,3/4,0.75,3-1/8,5,SM50245
0.2969,1-9/16,2-3/4,SM50216,49/64,0.7656,3-1/4,5-1/8,SM50246
0.3125,1-5/8,2-13/16,SM50217,25/32,0.7812,3-1/4,5-1/8,SM50247
0.3281,1-11/16,2-15/16,SM50218,51/64,0.7969,3-3/8,5-1/4,SM50248
0.3438,1-11/16,3,SM50219,13/16,0.8125,3-3/8,5-1/4,SM50249
0.3594,1-3/4,3-1/16,SM50220,53/64,0.8281,3-1/2,5-3/8,SM50250
0.375,1-13/16,3-1/8,SM50221,27/32,0.8438,3-1/2,5-3/8,SM50251
0.3906,1-7/8,3-1/4,SM50222,55/64,0.8594,3-1/2,5-1/2,SM50252
0.4062,1-15/16,3-5/16,SM50223,7/8,0.875,3-1/2,5-1/2,SM50253
0.4219,2,3-3/8,SM50224,57/64,0.8906,3-5/8,5-5/8,SM50254
0.4375,2-1/16,3-7/16,SM50225,29/32,0.9062,3-5/8,5-5/8,SM50255
0.4531,2-1/8,3-9/16,SM50226,59/64,0.9219,3-3/4,5-3/4,SM50256
0.4688,2-1/8,3-5/8,SM50227,15/16,0.9375,3-3/4,5-3/4,SM50257
0.4844,2-3/16,3-11/16,SM50228,61/64,0.9531,3-7/8,5-7/8,SM50258
0.5,2-1/4,3-3/4,SM50229,31/32,0.9688,3-7/8,5-7/8,SM50259
0.9844,4,6,SM50260,,,,,
