SIZE,DECIMAL EQUIV.,FLUTE LENGTH,OVERALL LENGTH,ALFA USA STOCK #
A,0.234,1-5/16,2-7/16,SMCO60401
B,0.238,1-3/8,2-1/2,SMCO60402
C,0.242,1-3/8,2-1/2,SMCO60403
D,0.246,1-3/8,2-1/2,SMCO60404
E,0.25,1-3/8,2-1/2,SMCO60405
F,0.257,1-7/16,2-5/8,SMCO60406
G,0.261,1-7/16,2-5/8,SMCO60407
H,0.266,1-1/2,2-11/16,SMCO60408
I,0.272,1-1/2,2-11/16,SMCO60409
J,0.277,1-1/2,2-11/16,SMCO60410
K,0.281,1-1/2,2-11/16,SMCO60411
L,0.29,1-9/16,2-3/4,SMCO60412
M,0.295,1-9/16,2-3/4,SMCO60413
N,0.302,1-5/8,2-13/16,SMCO60414
O,0.316,1-11/16,2-15/16,SMCO60415
P,0.323,1-11/16,2-15/16,SMCO60416
Q,0.332,1-11/16,3,SMCO60417
R,0.339,1-11/16,3,SMCO60418
S,0.348,1-3/4,3-1/16,SMCO60419
T,0.358,1-3/4,3-1/16,SMCO60420
U,0.368,1-13/16,3-1/8,SMCO60421
V,0.377,1-7/8,3-1/4,SMCO60422
W,0.386,1-7/8,3-1/4,SMCO60423
X,0.397,1-15/16,3-5/16,SMCO60424
Y,0.404,1-15/16,3-5/16,SMCO60425
Z,0.413,2,3-3/8,SMCO60426
