SIZE,DECIMAL EQUIV.,FLUTE LENGTH,OAL,STOCK # ENVELOPED,STOCK # POUCHED
3/64,0.0469,3/4,6,AE60600,AE60600P
1/16,0.0625,7/8,6,AE60601,AE60601P
5/64,0.0781,1,6,AE60602,AE60602P
3/32,0.0938,1-1/4,6,AE60603,AE60603P
7/64,0.1094,1-1/2,6,AE60604,AE60604P
1/8,0.125,1-5/8,6,AE60605,AE60605P
9/64,0.1406,1-3/4,6,AE60606,AE60606P
5/32,0.1562,2,6,AE60607,AE60607P
11/64,0.1719,2-1/8,6,AE60608,AE60608P
3/16,0.1875,2-5/16,6,AE60609,AE60609P
13/64,0.2031,2-7/16,6,AE60610,AE60610P
7/32,0.2188,2-1/2,6,AE60611,AE60611P
15/64,0.2344,2-5/8,6,AE60612,AE60612P
1/4,0.25,2-3/4,6,AE60613,AE60613P
A 17/64,0.2656,2-7/8,6,AE60614,AE60614P
9/32,0.2812,2-15/16,6,AE60615,AE60615P
19/64,0.2969,3-1/16,6,AE60616,AE60616P
5/16,0.3125,3-3/16,6,AE60617,AE60617P
21/64,0.3281,3-5/16,6,AE60618,AE60618P
11/32,0.3438,3-7/16,6,AE60619,AE60619P
23/64,0.3594,3-1/2,6,AE60620,AE60620P
3/8,0.375,3-5/8,6,AE60621,AE60621P
25/64,0.3906,3-3/4,6,AE60622,AE60622P
13/32,0.4062,3-7/8,6,AE60623,AE60623P
27/64,0.4219,3-15/16,6,AE60624,AE60624P
7/16,0.4375,4-1/16,6,AE60625,AE60625P
29/64,0.4531,4-3/16,6,AE60626,AE60626P
15/32,0.4688,4-5/16,6,AE60627,AE60627P
31/64,0.4844,4-3/8,6,AE60628,AE60628P
1/2,0.5,4-1/2,6,AE60629,AE60629P
