DECIMAL FLUTE SIZE,DECIMAL FLUTE OVERALL OAL SIZE,STOCK #,EQUIV. LENGTH,OVERALL LENGTH
3/64,0.0469,3/4,12,AE60700A
1/16,0.0625,7/8,12,AE60701
5/64,0.0781,1,12,AE60702
3/32,0.0938,1-1/4,12,AE60703
7/64,0.1094,1-1/2,12,AE60704
1/8,0.125,1-5/8,12,AE60705
9/64,0.1406,1-3/4,12,AE60706
5/32,0.1562,2,12,AE60707
11/64,0.1719,2-1/8,12,AE60708
3/16,0.1875,2-5/16,12,AE60709
13/64,0.2031,2-7/16,12,AE60710
7/32,0.2188,2-1/2,12,AE60711
15/64,0.2344,2-5/8,12,AE60712
1/4,0.25,2-3/4,12,AE60713
17/64,0.2656,2-7/8,12,AE60714
9/32,0.2812,2-15/16,12,AE60715
19/64,0.2969,3-1/16,12,AE60716
5/16,0.3125,3-3/16,12,AE60717
21/64,0.3281,3-5/16,12,AE60718
11/32,0.3438,3-7/16,12,AE60719
23/64,0.3594,3-1/2,12,AE60720
3/8,0.375,3-5/8,12,AE60721
25/64,0.3906,3-3/4,12,AE60722
13/32,0.4062,3-7/8,12,AE60723
27/64,0.4219,3-15/16,12,AE60724
7/16,0.4375,4-1/16,12,AE60725
29/64,0.4531,4-3/16,12,AE60726
15/32,0.4688,4-5/16,12,AE60727
31/64,0.4844,4-3/8,12,AE60728
1/2,0.5,4-1/2,12,AE60729
40,0.098,1-3/8,12,AE60780
41,0.096,1-3/8,12,AE60781
42,0.0935,1-1/4,12,AE60782
43,0.089,1-1/4,12,AE60783
44,0.086,1-1/8,12,AE60784
A,0.234,2-5/8,12,AE60786
B,0.238,2-3/4,12,AE60787
C,0.242,2-3/4,12,AE60788
D,0.246,2-3/4,12,AE60789
E,0.25,2-3/4,12,AE60790
F,0.257,2-7/8,12,AE60791
45,0.082,1-1/8,12,AE60785
46,0.081,1-1/8,12,AE60786A
47,0.0785,1,12,AE60787A
48,0.076,1,12,AE60788A
49,0.073,1,12,AE60789A
50,0.07,1,12,AE60790A
51,0.067,1,12,AE60791A
52,0.0635,7/8,12,AE60792
53,0.0595,7/8,12,AE60793
54,0.055,7/8,12,AE60794
55,0.052,7/8,12,AE60795
56,0.0465,3/4,12,AE60796
57,0.043,3/4,12,AE60797
58,0.042,11/16,12,AE60798
59,0.041,11/16,12,AE60799
60,0.04,11/16,12,AE60800
1,0.228,2-5/8,12,AE60741
2,0.221,2-5/8,12,AE60742
3,0.213,2-1/2,12,AE60743
4,0.209,2-1/2,12,AE60744
5,0.2055,2-1/2,12,AE60745
6,0.204,2-1/2,12,AE60746
7,0.201,2-7/16,12,AE60747
8,0.199,2-7/16,12,AE60748
9,0.196,2-7/16,12,AE60749
