Size,Decimal Equiv.,Flute Length,OAL,Stock # Enveloped,Stock # Pouched
1/16," "".0625"""," ""7/8"""," ""12"""," ""AECO60701"""," ""AECO60701P"""
5/64," "".0781"""," ""1"""," ""12"""," ""AECO60702"""," ""AECO60702P"""
3/32," "".0938"""," ""1-1/4"""," ""12"""," ""AECO60703"""," ""AECO60703P"""
7/64," "".1094"""," ""1-1/2"""," ""12"""," ""AECO60704"""," ""AECO60704P"""
1/8," "".1250"""," ""1-5/8"""," ""12"""," ""AECO60705"""," ""AECO60705P"""
9/64," "".1406"""," ""1-3/4"""," ""12"""," ""AECO60706"""," ""AECO60706P"""
5/32," "".1562"""," ""2"""," ""12"""," ""AECO60707"""," ""AECO60707P"""
11/64," "".1719"""," ""2-1/8"""," ""12"""," ""AECO60708"""," ""AECO60708P"""
3/16," "".1875"""," ""2-5/16"""," ""12"""," ""AECO60709"""," ""AECO60709P"""
13/64," "".2031"""," ""2-7/16"""," ""12"""," ""AECO60710"""," ""AECO60710P"""
7/32," "".2188"""," ""2-1/2"""," ""12"""," ""AECO60711"""," ""AECO60711P"""
15/64," "".2344"""," ""2-5/8"""," ""12"""," ""AECO60712"""," ""AECO60712P"""
1/4," "".2500"""," ""2-3/4"""," ""12"""," ""AECO60713"""," ""AECO60713P"""
