Size,Decimal Equiv.,Flute Length,OAL,Stock # Enveloped,Stock # Pouched
1/16," "".0625"""," ""7/8"""," ""6"""," ""AECO60601"""," ""AECO60601P"""
5/64," "".0781"""," ""1"""," ""6"""," ""AECO60602"""," ""AECO60602P"""
3/32," "".0938"""," ""1-1/4"""," ""6"""," ""AECO60603"""," ""AECO60603P"""
7/64," "".1094"""," ""1-1/2"""," ""6"""," ""AECO60604"""," ""AECO60604P"""
1/8," "".1250"""," ""1-5/8"""," ""6"""," ""AECO60605"""," ""AECO60605P"""
9/64," "".1406"""," ""1-3/4"""," ""6"""," ""AECO60606"""," ""AECO60606P"""
5/32," "".1562"""," ""2"""," ""6"""," ""AECO60607"""," ""AECO60607P"""
11/64," "".1719"""," ""2-1/8"""," ""6"""," ""AECO60608"""," ""AECO60608P"""
3/16," "".1875"""," ""2-5/16"""," ""6"""," ""AECO60609"""," ""AECO60609P"""
13/64," "".2031"""," ""2-7/16"""," ""6"""," ""AECO60610"""," ""AECO60610P"""
7/32," "".2188"""," ""2-1/2"""," ""6"""," ""AECO60611"""," ""AECO60611P"""
15/64," "".2344"""," ""2-5/8"""," ""6"""," ""AECO60612"""," ""AECO60612P"""
1/4," "".2500"""," ""2-3/4"""," ""6"""," ""AECO60613"""," ""AECO60613P"""
