Size,OAL,Decimal,Flute Length,Stock #,Pouched Stock #
1/16," ""6"""," "".0625"""," ""7/8"""," ""AECO60601"""," ""AECO60601P"""
5/64," ""6"""," "".0781"""," ""1"""," ""AECO60602"""," ""AECO60602P"""
3/32," ""6"""," "".0938"""," ""1-1/4"""," ""AECO60603"""," ""AECO60603P"""
7/64," ""6"""," "".1094"""," ""1-1/2"""," ""AECO60604"""," ""AECO60604P"""
1/8," ""6"""," "".1250"""," ""1-5/8"""," ""AECO60605"""," ""AECO60605P"""
9/64," ""6"""," "".1406"""," ""1-3/4"""," ""AECO60606"""," ""AECO60606P"""
5/32," ""6"""," "".1562"""," ""2"""," ""AECO60607"""," ""AECO60607P"""
11/64," ""6"""," "".1719"""," ""2-1/8"""," ""AECO60608"""," ""AECO60608P"""
3/16," ""6"""," "".1875"""," ""2-5/16"""," ""AECO60609"""," ""AECO60609P"""
13/64," ""6"""," "".2031"""," ""2-7/16"""," ""AECO60610"""," ""AECO60610P"""
7/32," ""6"""," "".2188"""," ""2-1/2"""," ""AECO60611"""," ""AECO60611P"""
15/64," ""6"""," "".2344"""," ""2-5/8"""," ""AECO60612"""," ""AECO60612P"""
1/4," ""6"""," "".2500"""," ""2-3/4"""," ""AECO60613"""," ""AECO60613P"""
1/16," ""12"""," "".0625"""," ""7/8"""," ""AECO60701"""," ""AECO60701P"""
5/64," ""12"""," "".0781"""," ""1"""," ""AECO60702"""," ""AECO60702P"""
3/32," ""12"""," "".0938"""," ""1-1/4"""," ""AECO60703"""," ""AECO60703P"""
7/64," ""12"""," "".1094"""," ""1-1/2"""," ""AECO60704"""," ""AECO60704P"""
1/8," ""12"""," "".1250"""," ""1-5/8"""," ""AECO60705"""," ""AECO60705P"""
9/64," ""12"""," "".1406"""," ""1-3/4"""," ""AECO60706"""," ""AECO60706P"""
5/32," ""12"""," "".1562"""," ""2"""," ""AECO60707"""," ""AECO60707P"""
11/64," ""12"""," "".1719"""," ""2-1/8"""," ""AECO60708"""," ""AECO60708P"""
3/16," ""12"""," "".1875"""," ""2-5/16"""," ""AECO60709"""," ""AECO60709P"""
13/64," ""12"""," "".2031"""," ""2-7/16"""," ""AECO60710"""," ""AECO60710P"""
7/32," ""12"""," "".2188"""," ""2-1/2"""," ""AECO60711"""," ""AECO60711P"""
15/64," ""12"""," "".2344"""," ""2-5/8"""," ""AECO60712"""," ""AECO60712P"""
1/4," ""12"""," "".2500"""," ""2-3/4"""," ""AECO60713"""," ""AECO60713P"""
