FRACTIONAL,DECIMAL,FLUTE LENGTH,OVERALL LENGTH,STOCK #
1/16,0.0625,1-3/4,3,TLCO50301
5/64,0.0781,2,3-3/4,TLCO50302
3/32,0.0938,2-1/4,4-1/4,TLCO50303
7/64,0.1094,2-1/2,4-5/8,TLCO50304
1/8,0.125,2-3/4,5-1/8,TLCO50305
9/64,0.1406,3,5-3/8,TLCO50306
5/32,0.1562,3,5-3/8,TLCO50307
11/64,0.1719,3-3/8,5-3/4,TLCO50308
3/16,0.1875,3-3/8,5-3/4,TLCO50309
13/64,0.2031,3-5/8,6,TLCO50310
7/32,0.2188,3-5/8,6,TLCO50311
15/64,0.2344,3-3/4,6-1/8,TLCO50312
1/4,0.25,3-3/4,6-1/8,TLCO50313
17/64,0.2656,3-7/8,6-1/4,TLCO50314
9/32,0.2812,3-7/8,6-1/4,TLCO50315
19/64,0.2969,4,6-3/8,TLCO50316
5/16,0.3125,4,6-3/8,TLCO50317
21/64,0.3281,4-1/8,6-1/2,TLCO50318
11/32,0.3438,4-1/8,6-1/2,TLCO50319
23/64,0.3594,4-1/4,6-3/4,TLCO50320
3/8,0.375,4-1/4,6-3/4,TLCO50321
25/64,0.3906,4-3/8,7,TLCO50322
13/32,0.4062,4-3/8,7,TLCO50323
27/64,0.4219,4-5/8,7-1/4,TLCO50324
7/16,0.4375,4-5/8,7-1/4,TLCO50325
29/64,0.4531,4-3/4,7-1/2,TLCO50326
15/32,0.4688,4-3/4,7-1/2,TLCO50327
31/64,0.4844,4-3/4,7-3/4,TLCO50328
1/2,0.5,4-3/4,7-3/4,TLCO50329
33/64*,0.5156,4-3/4,8,TLCO50330
17/32*,0.5312,4-3/4,8,TLCO50331
35/64*,0.5469,4-7/8,8-1/4,TLCO50332
9/16*,0.5625,4-7/8,8-1/4,TLCO50333
37/64*,0.5781,4-7/8,8-3/4,TLCO50334
19/32*,0.5938,4-7/8,8-3/4,TLCO50335
39/64*,0.6094,4-7/8,8-3/4,TLCO50336
21/32*,0.625,4-7/8,8-3/4,TLCO50337
41/64*,0.6406,5-1/8,9,TLCO50338
43/64*,0.6562,5-1/8,9,TLCO50339
45/64*,0.6719,5-3/8,9-1/4,TLCO50340
47/64*,0.6875,5-3/8,9-1/4,TLCO50341
3/4*,0.7031,5-5/8,9-1/2,TLCO50342
49/64*,0.7188,5-5/8,9-1/2,TLCO50343
51/64*,0.7344,5-7/8,9-3/4,TLCO50344
53/64*,0.75,5-7/8,9-3/4,TLCO50345
