 SIZE, DECIMAL EQUIV., FLUTE LENGTH, OVERALL LENGTH, ALFA USA STOCK #
17/64,0.2656, 2-7/8, 4-1/8, RS51801
9/32,0.2812, 2-15/16, 4-1/4, RS51803
19/64,0.2969, 3-1/16, 4-3/8, RS51805
5/16,0.3125, 3-3/16, 4-1/2, RS51807
21/64,0.3281, 3-5/16, 4-5/8, RS51809
11/32,0.3438, 3-7/16, 4-3/4, RS51811
23/64,0.3594, 3-1/2, 4-7/8, RS51813
3/8,0.375, 3-5/8,5, RS51815
25/64,0.3906, 3-3/4, 5-1/8, RS51817
13/32,0.4062, 3-7/8, 5-1/4, RS51819
27/64,0.4219, 3-15/16, 5-3/8, RS51821
7/16,0.4375, 4-1/16, 5-1/2, RS51823
29/64,0.4531, 4-3/16, 5-5/8, RS51825
15/32,0.4688, 4-5/16, 5-3/4, RS51827
31/64,0.4844, 4-3/8, 5-7/8, RS51829
1/2,0.5, 4-1/2,6, RS51831
