Size,Decimal Equiv.,Flute Length,Overall Length,Alfa USA Stock #,ECO PRO STOCK #
33/64,0.5156,3-1/8,6,SD50400,SD250400
17/32,0.5312,3-1/8,6,SD50401,SD250401
35/64,0.5469,3-1/8,6,SD50402,SD250402
9/16,0.5625,3-1/8,6,SD50403,SD250403
37/64,0.5781,3-1/8,6,SD50404,SD250404
19/32,0.5938,3-1/8,6,SD50405,SD250405
39/64,0.6094,3-1/8,6,SD50406,SD250406
5/8,0.625,3-1/8,6,SD50407,SD250407
41/64,0.6406,3-1/8,6,SD50408,SD250408
21/32,0.6562,3-1/8,6,SD50409,SD250409
43/64,0.6719,3-1/8,6,SD50410,SD250410
11/16,0.6875,3-1/8,6,SD50411,SD250411
45/64,0.7031,3-1/8,6,SD50412,SD250412
23/32,0.7188,3-1/8,6,SD50413,SD250413
47/64,0.7344,3-1/8,6,SD50414,SD250414
3/4,0.75,3-1/8,6,SD50415,SD250415
49/64,0.7656,3-1/8,6,SD50416A,SD250416A
25/32,0.7812,3-1/8,6,SD50416,SD250416
51/64,0.7969,3-1/8,6,SD50417A,SD250417A
13/16,0.8125,3-1/8,6,SD50417,SD250417
53/64,0.8281,3-1/8,6,SD50418A,SD250418A
27/32,0.8438,3-1/8,6,SD50418,SD250418
55/64,0.8594,3-1/8,6,SD50419A,SD250419A
07/08/25,0.875,3-1/8,6,SD50419,SD250419
57/64,0.8906,3-1/8,6,SD50420A,SD250420A
29/32,0.9062,3-1/8,6,SD50420,SD250420
59/64,0.9219,3-1/8,6,SD50421A,SD250421A
15/16,0.9375,3-1/8,6,SD50421,SD250421
61/64,0.9531,3-1/8,6,SD50422A,SD250422A
31/32,0.9688,3-1/8,6,SD50422,SD250422
63/64,0.9844,3-1/8,6,SD50423A,SD250423A
1,1,3-1/8,6,SD50423,SD250423
1-1/64,1.0156,3-1/8,6,SD50424A,
1-1/32,1.0312,3-1/8,6,SD50424,
1-3/64,1.0469,3-1/8,6,SD50425A,
1-1/16,1.0625,3-1/8,6,SD50425,SD250425
1-5/64,1.0781,3-1/8,6,SD50426A,
1-3/32,1.0938,3-1/8,6,SD50426,
1-7/64,1.1094,3-1/8,6,SD50427A,
1-1/8,1.125,3-1/8,6,SD50427,SD250427
1-9/64,1.1406,3-1/8,6,SD50428A,
1-5/32,1.1562,3-1/8,6,SD50428,
1-11/64,1.1719,3-1/8,6,SD50429A,
1-3/16,1.1875,3-1/8,6,SD50429,SD250429
1-13/64,1.2031,3-1/8,6,SD50430A,
1-7/32,1.2188,3-1/8,6,SD50430,
1-15/64,1.2344,3-1/8,6,SD50431A,
1-1/4,1.25,3-1/8,6,SD50431,SD250431
1-9/32,1.2812,3-1/8,6,SD50432,
1-5/16,1.3125,3-1/8,6,SD50433,SD250433
1-11/32,1.3438,3-1/8,6,SD50434,
1-3/8,1.375,3-1/8,6,SD50435,SD250435
1-25/64,1.3906,3-1/8,6,SD50436A,
1-13/32,1.4062,3-1/8,6,SD50436,
1-7/16,1.4375,3-1/8,6,SD50437,SD250437
1-15/32,1.4688,3-1/8,6,SD50438,
1-1/2,1.5,3-1/8,6,SD50439,SD250439
