FRACTIONAL SIZE,DECIMAL EQUIV.,FLUTE LENGTH,OVERALL LENGTH,ALFA USA STOCK #
33/64,0.5156,3-1/8,6,SDBB50400
17/32,0.5312,3-1/8,6,SDBB50401
35/64,0.5469,3-1/8,6,SDBB50402
9/16,0.5625,3-1/8,6,SDBB50403
37/64,0.5781,3-1/8,6,SDBB50404
19/32,0.5938,3-1/8,6,SDBB50405
39/64,0.6094,3-1/8,6,SDBB50406
5/8,0.625,3-1/8,6,SDBB50407
41/64,0.6406,3-1/8,6,SDBB50408
21/32,0.6562,3-1/8,6,SDBB50409
43/64,0.6719,3-1/8,6,SDBB50410
11/16,0.6875,3-1/8,6,SDBB50411
45/64,0.7031,3-1/8,6,SDBB50412
23/32,0.7188,3-1/8,6,SDBB50413
47/64,0.7344,3-1/8,6,SDBB50414
3/4,0.75,3-1/8,6,SDBB50415
49/64,0.7656,3-1/8,6,SDBB50416A
25/32,0.7812,3-1/8,6,SDBB50416
51/64,0.7969,3-1/8,6,SDBB50417A
13/16,0.8125,3-1/8,6,SDBB50417
53/64,0.8281,3-1/8,6,SDBB50418A
27/32,0.8438,3-1/8,6,SDBB50418
55/64,0.8594,3-1/8,6,SDBB50419A
7/8,0.875,3-1/8,6,SDBB50419
57/64,0.8906,3-1/8,6,SDBB50420A
29/32,0.9062,3-1/8,6,SDBB50420
59/64,0.9219,3-1/8,6,SDBB50421A
15/16,0.9375,3-1/8,6,SDBB50421
61/64,0.9531,3-1/8,6,SDBB50422A
31/32,0.9688,3-1/8,6,SDBB50422
63/64,0.9844,3-1/8,6,SDBB50423A
1,1.0,3-1/8,6,SDBB50423
1-1/16,1.0625,3-1/8,6,SDBB50425
1-1/8,1.125,3-1/8,6,SDBB50427
1-3/16,1.1875,3-1/8,6,SDBB50429
1-1/4,1.25,3-1/8,6,SDBB50431
1-5/16,1.3125,3-1/8,6,SDBB50433
1-3/8,1.375,3-1/8,6,SDBB50435
1-7/16,1.4375,3-1/8,6,SDBB50437
1-1/2,1.5,3-1/8,6,SDBB50439
