Fractional Size,Decimal Equiv.,Flute Length,Overall Length,Alfa USA Stock #
33/64,0.5156,3-1/8,6,SDCO50400
17/32,0.5312,3-1/8,6,SDCO50401
35/64,0.5469,3-1/8,6,SDCO50402
9/16,0.5625,3-1/8,6,SDCO50403
37/64,0.5781,3-1/8,6,SDCO50404
19/32,0.5938,3-1/8,6,SDCO50405
39/64,0.6094,3-1/8,6,SDCO50406
5/8,0.625,3-1/8,6,SDCO50407
41/64,0.6406,3-1/8,6,SDCO50408
21/32,0.6562,3-1/8,6,SDCO50409
43/64,0.6719,3-1/8,6,SDCO50410
11/16,0.6875,3-1/8,6,SDCO50411
45/64,0.7031,3-1/8,6,SDCO50412
23/32,0.7188,3-1/8,6,SDCO50413
47/64,0.7344,3-1/8,6,SDCO50414
3/4,0.75,3-1/8,6,SDCO50415
49/64,0.7656,3-1/8,6,SDCO50416A
25/32,0.7812,3-1/8,6,SDCO50416
51/64,0.7969,3-1/8,6,SDCO50417A
13/16,0.8125,3-1/8,6,SDCO50417
53/64,0.8281,3-1/8,6,SDCO50418A
27/32,0.8438,3-1/8,6,SDCO50418
55/64,0.8594,3-1/8,6,SDCO50419A
7/8,0.875,3-1/8,6,SDCO50419
57/64,0.8906,3-1/8,6,SDCO50420A
29/32,0.9062,3-1/8,6,SDCO50420
59/64,0.9219,3-1/8,6,SDCO50421A
15/16,0.9375,3-1/8,6,SDCO50421
61/64,0.9531,3-1/8,6,SDCO50422A
31/32,0.9688,3-1/8,6,SDCO50422
63/64,0.9844,3-1/8,6,SDCO50423A
1,1.0,3-1/8,6,SDCO50423
