SIZE,DECIMAL EQUIV. ,FLUTE LENGTH,OVERALL LENGTH,STOCK #
1,1,"3""","6""",RS52423
1-1/16,1.0625,"3""","6""",RS52425
1-1/8,1.125,"3""","6""",RS52427
1-3/16,1.1875,"3""","6""",RS52429
1-1/4,1.25,"3""","6""",RS52431
1-5/16,1.3125,"3""","6""",RS52433
1-3/8,1.375,"3""","6""",RS52435
1-7/16,1.4375,"3""","6""",RS52437
1-1/2,1.5,"3""","6""",RS52439
1-9/16,1.5625,"3""","6""",RS52441
1-5/8,1.625,"3""","6""",RS52443
1-11/16,1.6875,"3""","6""",RS52445
1-3/4,1.75,"3""","6""",RS52447
1-13/16,1.8125,"3""","6""",RS52449
1-7/8,1.875,"3""","6""",RS52451
1-15/16,1.9375,"3""","6""",RS52453
2,2,"3""","6""",RS52455
