SIZE,EQUIV. DECIMAL,FLUTE LENGTH,OVERALL LENGTH,ALFA USA STOCK #
17/32,0.5312,"3-7/8""","6""",SDC50401
35/64,0.5469,"3-7/8""","6""",SDC50402
9/16,0.5625,"3-7/8""","6""",SDC50403
37/64,0.5781,"3-7/8""","6""",SDC50404
19/32,0.5938,"3-7/8""","6""",SDC50405
39/64,0.6094,"3-7/8""","6""",SDC50406
5/8,0.625,"3-7/8""","6""",SDC50407
41/64,0.6406,"3-7/8""","6""",SDC50408
21/32,0.6562,"3-7/8""","6""",SDC50409
43/64,0.6719,"3-7/8""","6""",SDC50410
11/16,0.6875,"3-7/8""","6""",SDC50411
45/64,0.7031,"3-7/8""","6""",SDC50412
23/32,0.7188,"3-7/8""","6""",SDC50413
47/64,0.7344,"3-7/8""","6""",SDC50414
3/4,0.75,"3-7/8""","6""",SDC50415
49/64,0.7656,"3-7/8""","6""",SDC50416
25/32,0.7812,"3-7/8""","6""",SDC50417
51/64,0.7969,"3-7/8""","6""",SDC50418
13/16,0.8125,"3-7/8""","6""",SDC50419
53/64,0.8281,"3-7/8""","6""",SDC50420
27/32,0.8438,"3-7/8""","6""",SDC50421
55/64,0.8594,"3-7/8""","6""",SDC50422
7/8,0.875,"3-7/8""","6""",SDC50423
57/64,0.8906,"3-7/8""","6""",SDC50424
29/32,0.9062,"3-7/8""","6""",SDC50425
59/64,0.9219,"3-7/8""","6""",SDC50426
15/16,0.9375,"3-7/8""","6""",SDC50427
61/64,0.9531,"3-7/8""","6""",SDC50428
31/32,0.9688,"3-7/8""","6""",SDC50429
63/64,0.9844,"3-7/8""","6""",SDC50430
1,1,"3-7/8""","6""",SDC50431
1-1/16,1.0625,"3-7/8""","6""",SDC50432
1-1/8,1.125,"3-7/8""","6""",SDC50433
1-1/4,1.25,"3-7/8""","6""",SDC50434
1-3/8,1.375,"3-7/8""","6""",SDC50435
