SIZE,FLUTE,OVERALL,FRACTIONAL,DECIMAL,FLUTE.1,OVERALL.1,STOCK #
12.5,"3""","6""",17/32,0.5312,"3-7/8""","6""",SDM50451
13.0,"3""","6""",35/64,0.5469,"3-7/8""","6""",SDM50453
13.5,"3""","6""",9/16,0.5625,"3-7/8""","6""",SDM50455
14.0,"3""","6""",37/64,0.5781,"3-7/8""","6""",SDM50457
14.5,"3""","6""",19/32,0.5938,"3-7/8""","6""",SDM50459
15.0,"3""","6""",39/64,0.6094,"3-7/8""","6""",SDM50461
15.5,"3""","6""",5/8,0.625,"3-7/8""","6""",SDM50463
16.0,"3""","6""",41/64,0.6406,"3-7/8""","6""",SDM50465
16.5,"3""","6""",21/32,0.6562,"3-7/8""","6""",SDM50467
17.0,"3""","6""",43/64,0.6719,"3-7/8""","6""",SDM50469
17.5,"3""","6""",11/16,0.6875,"3-7/8""","6""",SDM50471
18.0,"3""","6""",45/64,0.7031,"3-7/8""","6""",SDM50473
18.5,"3""","6""",23/32,0.7188,"3-7/8""","6""",SDM50475
19.0,"3""","6""",47/64,0.7344,"3-7/8""","6""",SDM50477
19.5,"3""","6""",3/4,0.75,"3-7/8""","6""",SDM50479
20.0,"3""","6""",49/64,0.7656,"3-7/8""","6""",SDM50481
20.5,"3""","6""",25/32,0.7812,"3-7/8""","6""",SDM50483
21.0,"3""","6""",51/64,0.7969,"3-7/8""","6""",SDM50485
21.5,"3""","6""",13/16,0.8125,"3-7/8""","6""",SDM50487
22.0,"3""","6""",53/64,0.8281,"3-7/8""","6""",SDM50489
22.5,"3""","6""",27/32,0.8438,"3-7/8""","6""",SDM50491
23.0,"3""","6""",55/64,0.8594,"3-7/8""","6""",SDM50493
23.5,"3""","6""",7/8,0.875,"3-7/8""","6""",SDM50495
24.0,"3""","6""",57/64,0.8906,"3-7/8""","6""",SDM50497
24.5,"3""","6""",29/32,0.9062,"3-7/8""","6""",SDM50499
25.0,"3""","6""",59/64,0.9219,"3-7/8""","6""",SDM50500
25.5,"3""","6""",15/16,0.9375,"3-7/8""","6""",SDM50501
26.0,"3""","6""",61/64,0.9531,"3-7/8""","6""",SDM50503
26.5,"3""","6""",31/32,0.9688,"3-7/8""","6""",SDM50505
27.0,"3""","6""",63/64,0.9844,"3-7/8""","6""",SDM50507
27.5,"3""","6""",1,1.0,"3-7/8""","6""",SDM50509
28.0,"3""","6""",1-1/16,1.0625,"3-7/8""","6""",SDM50511
28.5,"3""","6""",1-1/8,1.125,"3-7/8""","6""",SDM50513
29.0,"3""","6""",1-1/4,1.25,"3-7/8""","6""",SDM50515
30.0,"3""","6""",1-3/8,1.375,"3-7/8""","6""",SDM50519
30.5,"3""","6""",1-1/4,1.25,"3-7/8""","6""",SDM50521
31.0,"3""","6""",1-3/8,1.375,"3-7/8""","6""",SDM50523
