SIZE,DECIMAL,MT FLUTE,OVERALL,STOCK #
0.25,1,2-7/8,6-1/8,TS49993
0.2656,1,3,6-1/4,TS49994
0.2812,1,3,6-1/4,TS49995
0.2969,1,3-1/8,6-3/8,TS49996
0.3125,1,3-1/8,6-3/8,TS49997
0.3281,1,3-1/4,6-1/2,TS49998
0.3438,1,3-1/4,6-1/2,TS49999
0.3594,1,3-1/2,6-3/4,TS50000
0.375,1,3-1/2,6-3/4,TS50001
0.3906,1,3-5/8,7,TS50002
0.4062,1,3-5/8,7,TS50003
0.4219,1,3-7/8,7-1/4,TS50004
0.4375,1,3-7/8,7-1/4,TS50005
0.4531,1,4-1/8,7-1/2,TS50006
0.4688,1,4-1/8,7-1/2,TS50007
0.4844,1,4-3/8,8-1/4,TS50008
0.5,2,4-3/8,8-1/4,TS50009
0.5156,2,4-5/8,8-1/2,TS50010
0.5312,2,4-5/8,8-1/2,TS50011
0.5469,2,4-7/8,8-3/4,TS50012
0.5625,2,4-7/8,8-3/4,TS50013
0.5781,2,4-7/8,8-3/4,TS50014
0.5938,2,4-7/8,8-3/4,TS50015
0.6094,2,4-7/8,8-3/4,TS50016
0.625,2,4-7/8,8-3/4,TS50017
0.6406,2,5-1/8,9,TS50018
0.6562,2,5-1/8,9,TS50019
0.6719,2,5-3/8,9-1/4,TS50020
0.6875,2,5-3/8,9-1/4,TS50021
0.7031,2,5-5/8,9-1/2,TS50022
0.7188,2,5-5/8,9-1/2,TS50023
0.7344,2,5-7/8,9-3/4,TS50024
0.75,2,5-7/8,9-3/4,TS50025
0.7656,2,6,9-7/8,TS50026
0.7812,2,6,9-7/8,TS50027
0.7969,3,6-1/8,10-3/4,TS50028
0.8125,3,6-1/8,10-3/4,TS50029
0.8281,3,6-1/8,10-3/4,TS50030
0.8438,3,6-1/8,10-3/4,TS50031
0.8594,3,6-1/8,10-3/4,TS50032
0.875,3,6-1/8,10-3/4,TS50033
0.8906,3,6-1/8,10-3/4,TS50034
0.9062,3,6-1/8,10-3/4,TS50035
0.9219,3,6-1/8,10-3/4,TS50036
0.9375,3,6-1/8,10-3/4,TS50037
0.9531,3,6-3/8,11,TS50038
0.9688,3,6-3/8,11,TS50039
0.9844,3,6-3/8,11,TS50040
1.0,3,6-3/8,11,TS50041
1.0156,3,6-1/2,11-1/8,TS50042
