SIZE,DECIMAL,MT FLUTE,OVERALL,STOCK #
0.0312,3,6-1/2,11-1/8,TS50043
0.0469,3,6-5/8,11-1/4,TS50044
0.0625,3,6-5/8,11-1/4,TS50045
0.0781,4,6-7/8,12-1/2,TS50046
0.0938,4,6-7/8,12-1/2,TS50047
0.1094,4,7-1/8,12-3/4,TS50048
0.125,4,7-1/8,12-3/4,TS50049
0.1406,4,7-1/4,12-7/8,TS50050
0.1562,4,7-1/4,12-7/8,TS50051
0.1719,4,7-3/8,13,TS50052
0.1875,4,7-3/8,13,TS50053
0.2031,4,7-1/2,13-1/8,TS50054
0.2188,4,7-1/2,13-1/8,TS50055
0.2344,4,7-7/8,13-1/2,TS50056
0.25,4,7-7/8,13-1/2,TS50057
0.2656,4,8-1/2,14-1/8,TS50058
0.2812,4,8-1/2,14-1/8,TS50059
0.2969,4,8-5/8,14-1/4,TS50060
0.3125,4,8-5/8,14-1/4,TS50061
0.3281,4,8-3/4,14-3/8,TS50062
0.3438,4,8-3/4,14-3/8,TS50063
0.3594,4,8-7/8,14-1/2,TS50064
0.375,4,8-7/8,14-1/2,TS50065
0.3906,4,9,14-5/8,TS50066
0.4062,4,9,14-5/8,TS50067
0.4219,4,9-1/8,14-3/4,TS50068
0.4375,4,9-1/8,14-3/4,TS50069
0.4531,4,9-1/4,14-7/8,TS50070
0.4688,4,9-1/4,14-7/8,TS50071
0.4844,4,9-3/8,15,TS50072
0.5,4,9-3/8,15,TS50073
0.5312,5,9-3/8,16-3/8,TS50074
0.5625,5,9-5/8,16-5/8,TS50075
0.5938,5,9-7/8,16-7/8,TS50076
0.625,5,10,17,TS50077
0.6562,5,10-1/8,17-1/8,TS50078
0.6875,5,10-1/8,17-1/8,TS50079
0.7188,5,10-1/8,17-1/8,TS50080
0.7344,5,10-1/8,17-1/8,TS50080A
0.75,5,10-1/8,17-1/8,TS50081
0.7812,5,10-1/8,17-1/8,TS50082
0.8125,5,10-1/8,17-1/8,TS50083
0.8438,5,10-1/8,17-1/8,TS50084
0.875,5,10-3/8,17-3/8,TS50085
0.9062,5,10-3/8,17-3/8,TS50086
0.9375,5,10-3/8,17-3/8,TS50087
0.9688,5,10-3/8,17-3/8,TS50088
2.0,5,10-3/8,17-3/8,TS50089
2.2031,5,10-1/8,17-3/8,TS50090
2.625,5,11-7/8,19-1/2,TS50091
