Size,Decimal Equiv.,Flute Length,Overall Length,Alfa USA Stock #
1/16,0.0625,7/8,1-7/8,BBML74201
5/64,0.0781,1,2,BBML74202
3/32,0.0938,1-1/4,2-1/4,BBML74203
7/64,0.1094,1-5/16,2-3/8,BBML74204
1/8,0.125,1-7/16,2-1/2,BBML74205
9/64,0.1406,1-9/16,2-5/8,BBML74206
5/32,0.1562,1-11/16,2-3/4,BBML74207
11/64,0.1719,1-13/16,2-7/8,BBML74208
3/16,0.1875,1-7/8,3,BBML74209
13/64,0.2031,1-15/16,3-1/8,BBML74210
7/32,0.2188,2,3-1/4,BBML74211
15/64,0.2344,2-1/16,3-3/8,BBML74212
1/4,0.25,2,3-1/2,BBML74213
17/64,0.2656,2-1/8,3-5/8,BBML74214
9/32,0.2812,2-1/4,3-3/4,BBML74215
19/64,0.2969,2-3/8,3-7/8,BBML74216
5/16,0.3125,2-1/2,4,BBML74217
21/64,0.3281,2-9/16,4-1/16,BBML74218
11/32,0.3438,2-5/8,4-1/8,BBML74219
23/64,0.3594,2-11/16,4-3/16,BBML74220
3/8,0.375,2-11/16,4-1/8,BBML74221
25/64,0.3906,2-3/4,4-5/16,BBML74222
13/32,0.4062,2-13/16,4-3/8,BBML74223
27/64,0.4219,2-7/8,4-7/16,BBML74224
7/16,0.4375,2-15/16,4-1/2,BBML74225
29/64,0.4531,3,4-5/8,BBML74226
15/32,0.4688,3-1/8,4-3/4,BBML74227
31/64,0.4844,3-1/4,4-7/8,BBML74228
1/2,0.5,3-3/8,5,BBML74229
