DECIMAL,FLUTE,OVERALL,DECIMAL.1,FLUTE.1,OVERALL.1,STOCK #
SIZE,MT,LENGTH,LENGTH,EQUIV.,LENGTH,LENGTH
3/8,.3750,2,3-1/2,7-3/8,TS50001A,
25/64,.3906,2,3-5/8,7-1/2,TS50002A,
13/32,.4062,2,3-5/8,7-1/2,TS50003A,
27/64,.4219,2,3-7/8,7-3/4,TS50004A,
7/16,.4375,2,3-7/8,7-3/4,TS50005A,
29/64,.4531,2,4-1/8,8,TS50006A,
15/32,.4688,2,4-1/8,8,TS50007A,
31/64,.4844,1,4-3/8,7-3/4,TS50008A,
1/2,.5000,1,4-3/8,7-3/4,TS50009A,
33/64,.5156,1,4-5/8,8,TS50010A,
17/32,.5312,1,4-5/8,8,TS50011A,
35/64,.5469,1,4-7/8,8-1/4,TS50012A,
9/16,.5625,1,4-7/8,8-1/4,TS50013A,
21/32,.6562,3,5-1/8,9-3/4,TS50019A,
43/64,.6719,3,5-3/8,10,TS50020A,
11/16,.6875,3,5-3/8,10,TS50021A,
45/64,.7031,3,5-5/8,10-1/4,TS50022A,
23/32,.7188,3,5-5/8,10-1/4,TS50023A,
47/64,.7344,3,5-7/8,10-1/2,TS50024A,
3/4,.7500,3,5-7/8,10-1/2,TS50025A,
49/64,.7656,3,6,10-5/8,TS50026A,
25/32,.7812,3,6,10-5/8,TS50027A,
51/64,.7969,2,6-1/8,10,TS50028A,
13/16,.8125,2,6-1/8,10,TS50029A,
53/64,.8281,2,6-1/8,10,TS50030A,
27/32,.8438,2,6-1/8,10,TS50031A,
55/64,.8594,2,6-1/8,10,TS50032A,
7/8,.8750,2,6-1/8,10,TS50033A,
57/64,.8906,2,6-1/8,10,TS50034A,
29/32,.9062,2,6-1/8,10,TS50035A,
1,1.0000,4,6-3/8,12,TS50041A,
1,1.0000,2,6-3/8,12,TS50041B,
1 1/32,1.0312,4,6-1/2,12-1/8,TS50043A,
1-1/16,1.0625,4,6-5/8,12-1/4,TS50045A,
1-5/64,1.0781,3,6-7/8,11-1/2,TS50046A,
1-3/32,1.0938,3,6-7/8,11-1/2,TS50047A,
1-7/64,1.1094,3,7-1/8,11-3/4,TS50048A,
1-1/8,1.1250,3,7-1/8,11-3/4,TS50049A,
1-9/64,1.1406,3,7-1/4,11-7/8,TS50050A,
1-5/32,1.1562,3,7-1/4,11-7/8,TS50051A,
1-11/64,1.1719,3,7-3/8,12,TS50052A,
1-3/16,1.1875,3,7-3/8,12,TS50053A,
1-13/64,1.2031,3,7-1/2,12-1/8,TS50054A,
1-7/32,1.2188,3,7-1/2,12-1/8,TS50055A,
1-15/64,1.2344,3,7-7/8,12-1/2,TS50056A,
1-1/4,1.2500,3,7-7/8,12-1/2,TS50057A,
1-5/8,1.6250,4,10,15-5/8,TS50077A,
1-11/16,1.6875,4,10-1/8,15-3/4,TS50079A,
1-3/4,1.7500,4,10-3/8,16-1/4,TS50081A,
1-13/16,1.8125,4,10-3/8,16-1/4,TS50083A,
1-7/8,1.8750,4,10-1/2,16-1/2,TS50085A,
1-15/16,1.9375,4,10-5/8,16-5/8,TS50087A,
2,2.0000,4,10-5/8,16-5/8,TS50089A,
