FRACTIONAL,DECIMAL,FLUTE LENGTH,OVERALL LENGTH,ALFA USA,STOCK #
1/32,0.0313,1/2,1-1/2,SCSF30098,
3/64,0.0469,1/2,1-1/2,SCSF30099,
1/16,0.0625,5/8,1-5/8,SCSF30101,
5/64,0.0781,11/16,1-11/16,SCSF30102,
3/32,0.0938,3/4,1-3/4,SCSF30103,
7/64,0.1094,13/16,1-13/16,SCSF30104,
1/8,0.125,7/8,1-7/8,SCSF30105,
9/64,0.1406,15/16,1-15/16,SCSF30106,
5/32,0.1563,1,2-1/16,SCSF30107,
11/64,0.1719,1-1/16,2-1/8,SCSF30108,
3/16,0.1875,1-1/8,2-3/16,SCSF30109,
13/64,0.2031,1-3/16,2-1/4,SCSF30110,
7/32,0.2188,1-1/4,2-3/8,SCSF30111,
A 15/64,0.2344,1-5/16,2-7/16,SCSF30112,
1/4,0.25,1-3/8,2-1/2,SCSF30113,
17/64,0.2656,1-7/16,2-5/8,SCSF30114,
