LETTER,DECIMAL,FLUTE,OVERRAL,ALFA USA LENGTH,ALFA USA LENGTH.1,STOCK #
A,0.234,1-5/16,2-7/16,SCSF30301,,
B,0.238,1-3/8,2-1/2,SCSF30302,,
C,0.242,1-3/8,2-1/2,SCSF30303,,
D,0.246,1-3/8,2-1/2,SCSF30304,,
E,0.25,1-3/8,2-1/2,SCSF30305,,
F,0.257,1-7/16,2-5/8,SCSF30306,,
G,0.261,1-7/16,2-5/8,SCSF30307,,
H,0.266,1-1/2,2-11/16,SCSF30308,,
I,0.272,1-1/2,2-11/16,SCSF30309,,
J,0.277,1-1/2,2-11/16,SCSF30310,,
K,0.281,1-1/2,2-11/16,SCSF30311,,
L,0.29,1-9/16,2-3/4,SCSF30312,,
M,0.295,1-9/16,2-3/4,SCSF30313,,
N,0.302,1-5/8,2-13/16,SCSF30314,,
O,0.316,1-11/16,2-15/16,SCSF30315,,
P,0.323,1-11/16,2-15/16,SCSF30316,,
Q,0.332,1-11/16,3,SCSF30317,,
R,0.339,1-11/16,3,SCSF30318,,
S,0.348,1-3/4,3-1/16,SCSF30319,,
T,0.358,1-3/4,3-1/16,SCSF30320,,
U,0.368,1-13/16,3-1/8,SCSF30321,,
V,0.377,1-7/8,3-1/4,SCSF30322,,
W,0.386,1-7/8,3-1/4,SCSF30323,,
X,0.397,1-15/16,3-5/16,SCSF30324,,
Y,0.404,1-15/16,3-5/16,SCSF30325,,
Z,0.413,2,3-3/8,SCSF30326,,
