SIZE,DECIMAL,FLUTE,OVERRAL,ALFA USA LENGTH,ALFA USA LENGTH.1,STOCK #
1/8,0.125,1-1/4,2-1/4,SCTF30805,,
9/64,0.1406,1-3/8,2-1/2,SCTF30806,,
5/32,0.1562,1-3/8,2-1/2,SCTF30807,,
11/64,0.1719,1-5/8,2-3/4,SCTF30808,,
3/16,0.1875,1-5/8,2-3/4,SCTF30809,,
13/64,0.2031,1-3/4,3,SCTF30810,,
7/32,0.2188,1-3/4,3,SCTF30811,,
15/64,0.2344,2,3-1/4,SCTF30812,,
1/4,0.25,2,3-1/4,SCTF30813,,
17/64,0.2656,2-1/8,3-1/2,SCTF30814,,
9/32,0.2812,2-1/8,3-1/2,SCTF30815,,
19/64,0.2969,2-3/8,3-3/4,SCTF30816,,
5/16,0.3125,2-3/8,3-3/4,SCTF30817,,
21/64,0.3281,2-1/2,4,SCTF30818,,
11/32,0.3438,2-1/2,4,SCTF30819,,
23/64,0.3594,2-3/4,4-1/4,SCTF30820,,
3/8,0.375,2-3/4,4-1/4,SCTF30821,,
25/64,0.3906,2-7/8,4-1/2,SCTF30822,,
13/32,0.4062,2-7/8,4-1/2,SCTF30823,,
27/64,0.4219,2-7/8,4-1/2,SCTF30824,,
7/16,0.4375,2-7/8,4-1/2,SCTF30825,,
29/64,0.4531,3,4-3/4,SCTF30826,,
15/32,0.4688,3,4-3/4,SCTF30827,,
31/64,0.4844,3,4-3/4,SCTF30828,,
1/2,0.5,3,4-3/4,SCTF30829,,
