FRACTIONAL SIZE,EQUIV.,DECIMAL,FLUTE LENGTH,OVERALL LENGTH,ALFA USA STOCK #
1/16,0.0625,5/8,1-5/8,SCSM70201,
5/64,0.0781,11/16,1-11/16,SCSM70202,
3/32,0.0938,3/4,1-3/4,SCSM70203,
7/64,0.1094,13/16,1-13/16,SCSM70204,
1/8,0.125,7/8,1-7/8,SCSM70205,
9/64,0.1406,15/16,1-15/16,SCSM70206,
5/32,0.1562,1,2-1/16,SCSM70207,
11/64,0.1719,1-1/16,2-1/8,SCSM70208,
3/16,0.1875,1-1/8,2-3/16,SCSM70209,
13/64,0.2031,1-3/16,2-1/4,SCSM70210,
7/32,0.2188,1-1/4,2-3/8,SCSM70211,
15/64,0.2344,1-5/16,2-7/16,SCSM70212,
1/4,0.25,1-3/8,2-1/2,SCSM70213,
17/64,0.2656,1-7/16,2-5/8,SCSM70214,
9/32,0.2812,1-1/2,2-11/16,SCSM70215,
