Size Range,N St o e . p o s f T A O L,OF L A S,UNIBIT,LENNOX,KLEIN,MAGNA,MILWAUKEE,GREENLEE,P S,r t o y,B le it,Alum inum,B A o u d to y,El B e o c x,tr e ic s a l,I-Bea ms,S M h e e ta e l t,E S le t c a .,i n B l,o e x s e s s,St S a i i n n k,le s ss
"1/8\ - 1/2\""""",13 AH,,,,,,,,,"2,600",820.0,820.0,690.0,770.0,300.0,310.0,,,,,,
"3/16\ - 1/2\""""",6 BH,,,,,,,,,"2,600",820.0,820.0,690.0,770.0,300.0,310.0,,,,,,
"1/8\ - 1/2\""""",13 A,1 VBI 59001,44685.0,48-89-9100,34401,C,"1,700",550,550.0,460,510.0,200.0,210.0,,,,,,,,,
"3/16\ - 1/2\""""",6 B,2 VB4,59005.0,44694,,,B,"2,600",820.0,820,690.0,770.0,300.0,310.0,,,,,,,,
"1/4\ - 3/4\""""",9 C,3 VB3,59003.0,44687,48-89-9105,,D,"1,500",470.0,470,400.0,440.0,170.0,180.0,,,,,,,,
"1/2\"",1 D""",,,44690.0,48-89-9125,34410,E,"1,500",470,470.0,400,440.0,170.0,180.0,,,,,,,,,
"7/8\"",1 E""",11 VB7,59008,44688.0,48-89-9115,344011,F,"1,300",410,410.0,350,390.0,150.0,150.0,,,,,,,,,
"9/16\ - 1\""""",8 F,20 VB2,59002.0,44686,48-89-9110,,G,900,300.0,300,250.0,280.0,110.0,110.0,,,,,,,,
"13/16\ - 1-3/8\""""",10 G,21 VB12,59004.0,44695,,,H,"1,500",470.0,470,400.0,440.0,170.0,180.0,,,,,,,,
"3/8\"",1 H""",12 VB14,,44689.0,48-89-9120,,K,"1,500",470,470.0,400,440.0,170.0,180.0,,,,,,,,,
"3/16\ - 7/8\""""",12 K,4,,44692,48-89-9130,34403,,,,,,,,,,,,,,,,
"1/4\ - 7/8\"" - 1-1/8\""""",3 M,9 VB11,59001.0,44691,48-89-9135,36413,M,"1,100",370.0,300,310.0,340.0,130.0,140.0,,,,,,,,
