Step,STOCK #,PACK CARDED,PACK CARDED.1
A,MB52501,"1/8\ - 1/2\"" in 1/32nds""","1/4\ 3\"""""
A,MB52501C,"1/8\ - 1/2\"" in 1/32nds""","1/4\ 3\"""""
A,MB52501TN,"1/8\ - 1/2\"" in 1/32nds""","1/4\ 3\"""""
A,MB52501TNC,"1/8\ - 1/2\"" in 1/32nds""","1/4\ 3\"""""
B,MB52502,"3/16\ - 1/2\"" in 1/16ths""","1/4\ 3-1/4\"""""
B,MB52502C,"3/16\ - 1/2\"" in 1/16ths""","1/4\ 3-1/4\"""""
B,MB52502TN,"3/16\ - 1/2\"" in 1/16ths""","1/4\ 3-1/4\"""""
B,MB52502TNC,"3/16\ - 1/2\"" in 1/16ths""","1/4\ 3-1/4\"""""
C,MB52503,"1/4\ - 3/4\"" in 1/16ths""","3/8\ 2-13/16\"""""
C,MB52503C,"1/4\ - 3/4\"" in 1/16ths""","3/8\ 2-13/16\"""""
C,MB52503TN,"1/4\ - 3/4\"" in 1/16ths""","3/8\ 2-13/16\"""""
C,MB52503TNC,"1/4\ - 3/4\"" in 1/16ths""","3/8\ 2-13/16\"""""
D,MB52504,"1/4\ - 3/4\"" in 1/16ths""","1/2\ 1-7/8\"""""
D,MB52504C,"1/4\ - 3/4\"" in 1/16ths""","1/2\ 1-7/8\"""""
D,MB52504TN,"1/4\ - 3/4\"" in 1/16ths""","1/2\ 1-7/8\"""""
D,MB52504TNC,"1/4\ - 3/4\"" in 1/16ths""","1/2\ 1-7/8\"""""
E,MB52505,"7/8\ - 1\"" in 1/16ths""","3/8\ 2-5/16\"""""
E,MB52505C,"7/8\ - 1\"" in 1/16ths""","3/8\ 2-5/16\"""""
E,MB52505TN,"7/8\ - 1\"" in 1/16ths""","3/8\ 2-5/16\"""""
E,MB52505TNC,"7/8\ - 1\"" in 1/16ths""","3/8\ 2-5/16\"""""
F,MB52506,"9/16\ - 1\"" in 1/16ths""","3/8\ 2-13/16\"""""
F,MB52506C,"9/16\ - 1\"" in 1/16ths""","3/8\ 2-13/16\"""""
F,MB52506TN,"9/16\ - 1\"" in 1/16ths""","3/8\ 2-13/16\"""""
F,MB52506TNC,"9/16\ - 1\"" in 1/16ths""","3/8\ 2-13/16\"""""
G,MB52507,"13/16\ - 1-3/8\"" in 1/32nds""","1/2\ 3\"""""
H,MB52508,"3/16\ - 7/8\"" in 1/16ths""","1/4\ 1-3/4\"""""
H,MB52508C,"3/16\ - 7/8\"" in 1/16ths""","1/4\ 1-3/4\"""""
H,MB52508TN,"3/16\ - 7/8\"" in 1/16ths""","1/4\ 1-3/4\"""""
H,MB52508TNC,"3/16\ - 7/8\"" in 1/16ths""","1/4\ 1-3/4\"""""
K,MB52511,"3/16\ - 7/8\"" in 1/16ths""","3/8\ 3\"""""
K,MB52511C,"3/16\ - 7/8\"" in 1/16ths""","3/8\ 3\"""""
K,MB52511TN,"3/16\ - 7/8\"" in 1/16ths""","3/8\ 3\"""""
K,MB52511TNC,"3/16\ - 7/8\"" in 1/16ths""","3/8\ 3\"""""
M,MB52513,"1-1/8\ ProBit""","3/8\ 3\"""""
M,MB52513TN,"1-1/8\ ProBit""","3/8\ 3\"""""
Note: The tables were extracted and formatted to the best of my ability. However, the original text may have contained formatting or structural issues that affected the extraction process. Please review the output carefully for any errors or inaccuracies.,,
