SIZE,LENGTH,OVER ALL DRI LL LENGTH,THRE AD SHA NK LENGTH,OF SQUARE,OF SQUARE.1,DIA.,ALFA USA STOCK #
1-7/8,1/4,0.091,3/8,0.141,3/16,0.11,DTH66101
1-7/8,1/4,0.0945,3/8,0.141,3/16,0.11,DTH66101A
1-15/16,9/32,0.104,13/32,0.141,3/16,0.11,DTH66102
1-15/16,9/32,0.106,13/32,0.141,3/16,0.11,DTH66102A
2,5/16,0.1115,7/16,0.141,3/16,0.11,DTH66103
2,5/16,0.117,7/16,0.141,3/16,0.11,DTH66103A
2-1/8,3/8,0.1375,1/2,0.168,1/4,0.131,DTH66104
2-1/8,3/8,0.1405,1/2,0.168,1/4,0.131,DTH66104A
2-3/8,13/32,0.1545,5/8,0.194,1/4,0.152,DTH66105
2-3/8,13/32,0.1635,5/8,0.194,1/4,0.152,DTH66106
2-3/8,15/32,0.1805,21/32,0.22,9/32,0.165,DTH66106A
2-3/8,15/32,0.186,21/32,0.22,9/32,0.165,DTH66106B
2-1/2,17/32,0.208,25/32,0.255,5/16,0.191,DTH66107
2-1/2,17/32,0.22,25/32,0.255,5/16,0.191,DTH66108
2-27/32,11/16,0.266,15/16,0.318,3/8,0.238,DTH66109
2-27/32,11/16,0.277,15/16,0.318,3/8,0.238,DTH66110
3-3/8,13/16,0.3225,1-1/16,0.381,7/16,0.286,DTH66111
3-3/8,13/16,0.3395,1-1/16,0.381,7/16,0.286,DTH66112
3-3/4,1,0.377,1-1/4,0.323,13/32,0.242,DTH66113
3-3/4,1,0.3955,1-1/4,0.323,13/32,0.242,DTH66114
4-1/16,1-1/8,0.435,1-3/8,0.367,7/16,0.275,DTH66115
4-1/16,1-1/8,0.458,1-3/8,0.367,7/16,0.275,DTH66116
