FRACTIONAL,DECIMAL,FLUTE,OVERALL,DECIMAL.1,FLUTE.1,OVERALL.1,STOCK #
*1/16,0.0625,3/4,2-1/4,0.0625,3/4,2-1/4,HSD51071
*5/64,0.0781,7/8,2-3/8,0.0781,7/8,2-3/8,HSD51071A
*3/32,0.0938,1,2-1/2,0.0938,1,2-1/2,HSD51072
*7/64,0.1094,1-1/16,2-5/8,0.1094,1-1/16,2-5/8,HSD51072A
1/8,0.125,1-1/4,2-3/4,0.125,1-1/4,2-3/4,HSD51073
9/64,0.1406,1-3/8,2-7/8,0.1406,1-3/8,2-7/8,HSD51073A
5/32,0.1562,1-3/8,3,0.1562,1-3/8,3,HSD51074
11/64,0.1719,1-5/8,3,0.1719,1-5/8,3,HSD51074A
3/16,0.1875,1-5/8,3-1/8,0.1875,1-5/8,3-1/8,HSD51075
13/64,0.2031,1-3/4,3-1/4,0.2031,1-3/4,3-1/4,HSD51075A
7/32,0.2188,1-7/8,3-3/8,0.2188,1-7/8,3-3/8,HSD51076
15/64,0.2344,2,3-3/8,0.2344,2,3-3/8,HSD51076A
1/4,0.25,2-1/8,3-5/8,0.25,2-1/8,3-5/8,HSD51077
17/64,0.2656,1-7/16,2-5/8,0.2656,1-7/16,2-5/8,HSD51084
9/32,0.2812,1-1/2,2-11/16,0.2812,1-1/2,2-11/16,HSD51085
